,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
WT,0.9708333333333334,0.02916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
vpsL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rbmB,0.00625,0.0,0.9808333333333333,0.0,0.0,0.0,0.012916666666666667,0.0
hapR,0.00625,0.0,0.00375,0.98375,0.0,0.0,0.00625,0.0
potD1,0.006580645161290322,0.0,0.005290322580645161,0.0046236559139784935,0.9808817204301076,0.0026236559139784944,0.0,0.0
flaA,0.0,0.0025,0.0,0.0,0.0,0.99,0.0,0.0075
luxO_D47E,0.00125,0.00125,0.010833333333333332,0.0,0.0,0.0,0.9866666666666666,0.0
vpvC_W240R,0.0,0.0,0.013333333333333332,0.005,0.0025,0.005,0.004583333333333333,0.9695833333333335
