,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
WT,0.96375,0.03625,0.0,0.0,0.0,0.0,0.0,0.0
vpsL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rbmB,0.00125,0.007083333333333333,0.9795833333333333,0.0,0.0,0.0,0.012083333333333333,0.0
hapR,0.0,0.0,0.00125,0.98375,0.0,0.0025,0.0125,0.0
potD1,0.0,0.0,0.011956989247311827,0.004247311827956989,0.9745913978494624,0.0026236559139784944,0.006580645161290322,0.0
flaA,0.0,0.00125,0.0,0.0,0.0,0.99375,0.005,0.0
luxO_D47E,0.0,0.0,0.005833333333333333,0.0,0.0,0.0,0.9941666666666668,0.0
vpvC_W240R,0.0,0.0,0.01375,0.01958333333333333,0.0,0.0,0.0,0.9666666666666666
