frame,rfMean,rfStd
0,0.18436995967741937,0.021555688296515586
1,0.15952620967741934,0.019941775822059117
2,0.12878192204301075,0.02148308196807411
3,0.15793346774193548,0.019341343266322884
4,0.2092725134408602,0.02256741193699429
5,0.2164986559139785,0.01744542302123436
6,0.2832157258064516,0.02287160805180877
7,0.4249647177419355,0.050969489469900736
8,0.593408938172043,0.05122340130923464
9,0.7353461021505376,0.051706705097854265
10,0.8100655241935485,0.03919855497213016
11,0.8631703629032258,0.037304274349500725
12,0.8848319892473119,0.03666336465710654
13,0.9096034946236559,0.03359702094583244
14,0.9219539650537635,0.03399461938124505
15,0.9369136424731183,0.023110062188292476
16,0.9518061155913979,0.016403752875964468
17,0.9570631720430107,0.024592812539015754
18,0.9638138440860216,0.020562714876047404
19,0.9630460349462366,0.017191781852149392
20,0.9662348790322581,0.013543085720359213
21,0.9629737903225807,0.014105156203839612
22,0.9659694220430107,0.017873801637254327
23,0.960567876344086,0.016979516948681744
24,0.9686811155913979,0.014573704764508956
25,0.9633702956989246,0.017650982591179604
26,0.9585618279569893,0.019536555456429256
27,0.9462096774193549,0.016926313634812316
28,0.949801747311828,0.021304923849455468
29,0.9418363575268818,0.020017807083822604
30,0.8915104166666665,0.09835018466429124
