,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
WT,0.9283333333333332,0.0025,0.012083333333333333,0.0,0.0,0.0,0.05708333333333334,0.0
vpsL,0.02208333333333333,0.9620833333333332,0.0,0.0,0.0,0.0,0.01583333333333333,0.0
rbmB,0.00125,0.0,0.9191666666666666,0.007083333333333333,0.0,0.01916666666666667,0.05333333333333333,0.0
hapR,0.0,0.0,0.0,0.9608333333333333,0.026666666666666665,0.0125,0.0,0.0
potD1,0.0,0.0,0.0,0.050967741935483854,0.9165591397849461,0.01365591397849462,0.0064516129032258064,0.01236559139784946
flaA,0.01625,0.0025,0.0075,0.0,0.026666666666666665,0.9358333333333333,0.01125,0.0
luxO_D47E,0.045,0.01125,0.02083333333333333,0.0,0.0,0.0,0.9229166666666667,0.0
vpvC_W240R,0.0,0.00125,0.015,0.010416666666666664,0.01375,0.0,0.0,0.9595833333333331
