,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
WT,0.9691666666666667,0.0225,0.008333333333333333,0.0,0.0,0.0,0.0,0.0
vpsL,0.023749999999999997,0.97625,0.0,0.0,0.0,0.0,0.0,0.0
rbmB,0.0125,0.0,0.9791666666666667,0.0,0.008333333333333333,0.0,0.0,0.0
hapR,0.0,0.0,0.0025,0.99,0.0,0.00125,0.00625,0.0
potD1,0.0,0.0,0.01586021505376344,0.0,0.9841397849462364,0.0,0.0,0.0
flaA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
luxO_D47E,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vpvC_W240R,0.007916666666666666,0.0,0.013333333333333332,0.0,0.0,0.0,0.0,0.97875
