,wavL,bioC,bioD,bioA,bioF,wbeL,manA,manC,potD1,potA,potB,lpxM,wbeT,flgO,flgP,flhA,fliL,flaA,fliQ,fliP,fliS,flhB,fliR,flrB,flgB,flgF,fliJ,cheW,flgA,flgD,fliA,flrA,flgT,fliE,vibB,lipA,pdhE2,manB,wbeG,wbeN,potC,wavA,wbeM,wzt,flgK,fliD,WT,flgE,flgM,flhG
PC1,0.9013131161794253,1.0767711283774684,1.1418296249348951,1.183552063782427,1.130316006272782,0.8252141399448997,0.31511825724317905,0.34043360717246035,0.8553506840889166,0.7178413658627157,0.7382806732660935,1.0183130388577155,0.9863533982121782,1.0428426320320932,0.9296659962620457,0.6216137887284717,0.5827422549461647,0.5639907213655385,0.5245314983655854,0.3654679003728952,0.37800910126455345,0.769858739668003,0.9250364567834,0.6686765569064849,0.2770964070415391,0.22992444520598723,-0.24903716208290336,-1.0402494001078317,-0.7850111896888988,-1.1459835400279803,-0.7181591797619287,-0.4788513343946378,-0.06010427029135115,-0.14737452219856745,-1.377152372577078,-0.20328999892572716,-0.0972916013009688,-0.2992099879380563,0.178862276995884,0.18731316696830266,-0.21695464713733498,-0.2686343806740563,-0.614206756171998,-0.738538250843745,-0.24921953711847913,-0.988466257008743,-3.4426650808934447,-2.515459913210317,-2.230274220599926,-1.6101854441481325
PC2,-1.3355779887485644,-0.5092617872417164,-0.5166419080555323,-0.552025759267273,-0.7286763877502904,0.7903298478178445,1.5684756088343816,1.2196859283935026,0.4013449205051306,0.6115703013360363,0.5077677952826524,-0.0621067660347351,-0.3710316027265534,0.03343514117379553,0.15144529975816184,0.9310494057665162,0.8011406264222253,1.5074926531251924,1.290232781500225,1.29433649244018,1.3706555633248945,0.611554215159481,0.5866870693068661,0.13466073432531905,0.40764199319120004,0.4777465053746221,0.287039500963779,0.458159502316449,0.5145318878643278,0.7130016297420299,0.6608608344513266,0.9984758299412175,1.0269202405672375,1.2832954732008572,0.002677156457078814,-1.5903703531819238,-0.3055928050434967,-0.6503268479094648,-0.9511290739047449,-1.4696847972622533,-1.97276408537896,-1.9051543192962888,-1.4718175754585354,-2.0707262677917417,-1.8274565820712556,-1.143895832213982,-0.6374536536652456,0.5042117665768583,-0.43679446743046774,-0.6379378446863653
PC3,2.425383720356226,0.8086204879937039,0.6842901943334815,1.0203947703434995,1.228562027446548,0.659429016626498,0.147963029943093,0.15373002312732667,-0.23367908570931545,-0.17781596297916488,-0.2201156514510111,-0.41209548880313535,0.48559199516544715,0.3556543707672649,0.34415312059097386,0.011081957904649671,-0.18018860835199174,-0.08637049099545835,-0.21215041642795887,-0.2997139281569117,-0.25725094750730393,0.5479851518610268,0.7049990049575807,0.2528317553669686,-0.24004665733658506,-0.045933501659707145,-1.3326453805174607,-1.5187274367367278,-1.3474859509917028,-0.40747981638965813,-0.5360648349073045,-0.44540665527710127,-0.5688064831157815,-0.5038560809409333,1.8951233042031836,3.075753846350813,2.6702301819087593,-1.1379384811394666,-0.5595976811756551,-0.8910213410837964,-0.9760713078630767,-0.7396984887732702,-0.9571248282553266,-0.7145292249463028,-1.3608834173295918,-1.1193844111167779,0.6332109858284168,0.715744415008121,-1.1515914008572232,-0.1870593992878803
PC4,0.7468216925280631,1.3632483769110948,1.453105914798536,1.5580418315409947,1.2609386373715261,-0.3269413660115692,-0.35226056955948015,-0.3805310948072097,1.239549563155227,0.8475812333755016,0.8125695030481507,1.6751824545017995,0.8152439479954295,0.6834898765182078,-0.03953199131192662,-0.48288377795958015,-0.8676744553295744,-0.9687747186885859,-0.6705556917064767,-1.1168520079519242,-1.0145831086645305,-0.5640432623540436,-0.3641314549183111,-0.7968266525891275,-0.8822508321149398,-1.233534054476023,0.39810817213703426,0.07376995468452988,0.5642631141955037,-1.8581063096273316,-1.9971905490697506,-1.6007108393951375,-1.4980484363904365,-1.4894314061016125,0.0869769429156667,1.3620942892270496,1.3104245343037728,-0.21053393950933763,0.2877422195998271,0.6534537158661244,0.22142988023344776,-0.2780584762790852,0.05749807204371704,0.19651474978999525,1.4402999541809498,0.8458674545746068,1.2517260054651476,-1.2299029967335677,0.04936207594829427,-1.0319461753606365
PC5,0.689081216011862,-0.8331783664210216,-0.742514205337351,-0.9060912941995354,-0.9453879212033189,-0.8997223025747004,-0.4711736755400661,-0.5509460226949612,-0.5708675373686194,-0.4945415280508791,-0.5772136054136067,-0.5893674137344423,-0.7758173768542219,-0.8724687322082201,-0.7903671782693127,-0.8749139254634017,-0.6545813716853784,-0.4403124127057421,-0.6173512198691143,-0.6677992446827244,-0.3780346916189033,-0.8875724631124652,-0.9499346250874592,-0.2804895219366367,-0.10091659855685275,-0.2247145703809078,0.5440561803203778,0.17765625225376808,0.7373466080952915,0.5894388467022202,0.2324250844685539,-0.0062256027442585855,-0.012681122329443743,0.1922533720433802,4.050009250298458,2.5670418127962833,3.107117077219544,0.26167741308339804,0.21802662658047514,0.11140409563582164,0.35001984662866037,0.28349515601776404,0.00676803453216157,-0.19523072045246212,0.41341404869697435,0.7671603317591746,-0.9206782523425583,1.2439243980017498,0.13663738011746054,0.5521404715751858
PC6,-0.2165041727528387,-0.030868862259758177,0.2277247907415024,-0.40468122911807536,-0.522364305837442,-1.5710119705296892,-1.081387107327643,-0.6722593123814056,-0.6478671804614975,-0.587593900162795,-0.487660399232625,0.5928166221265333,-0.3925748955833891,-0.8216941552692145,-0.5367902084765661,1.180264045683456,0.09150033219116208,0.44011831621300007,0.22060190485363923,1.3393948831331333,1.5641786429298516,-1.1737155738853664,-1.0439836968962726,-0.908789169601894,0.8686622432492357,-0.16571307959645776,0.33267129363926423,-0.18934420344629857,-0.46229362152830344,3.8920039373925133,0.3498653762774064,0.4021895240967191,1.3123968350017774,2.4788178851959435,-0.754789000661478,-0.043033081277744176,-0.9217096910529158,-0.6226265609628406,0.040658453632832714,-0.06029478343332862,0.04834374255519765,-0.046694422949049734,0.02039515318187119,1.2191896157038855,0.351762168101561,-0.4012416761339164,-0.3894580834667879,1.1092635523689875,-1.587576030615887,-1.3382989433679955
PC7,1.5820367675192342,1.2723785924113906,1.1344661982313125,1.409093470329226,1.4417861026622432,0.18510948356448034,0.043737511461102586,0.25053339314751116,-0.4467807571720807,-0.7909115435944061,-0.6766102413696212,-0.5925926772718174,-0.2944867172193805,0.09774971234643381,-0.5376091156506182,-0.12035928399332901,-0.6692290319907089,-0.4526772927821145,-0.37339804295161305,-0.12675511223327798,-0.247698606500266,-0.47948305640297373,0.1861496387526263,-1.6856887563432672,-0.14355998401158623,-1.1461878778006789,-0.6492866902798308,0.8092112883461797,0.48734988287283115,1.0415996586092888,-1.4731054336550629,-1.535231540359461,-0.8503027269240722,-0.17097053340317261,-0.9969507770037815,3.7591427218942695,2.26044023593438,-1.114829413421531,-0.39084013487035413,-0.46970766101447964,-0.7541851165810114,-0.3895125349651585,-0.18795025434651164,0.3378293129556648,-0.13852334957816978,0.2925166550395117,-0.5366291234859981,-0.1496176257683496,0.6336206669576537,1.3669197199093455
PC8,-0.2562830820131279,0.11226816943234888,0.07462404258090193,0.38836512668745543,0.23664809806842704,-1.562970678434393,-2.606012893065106,-2.724812246510694,-1.2295033963738393,-1.9253478324650035,-1.681148568416507,0.3682921346697482,-1.0750749659014234,-0.4544760868430094,0.03774852403651276,1.187842702168171,1.161279709047356,0.6816570308410383,1.0368187937144218,0.9723631029805866,1.0992996842417877,1.1960007932956023,1.1353972596094624,0.9107398993023723,0.9450755484885985,1.408169024176866,0.5253734717287724,0.513099751122861,0.8652235623160613,0.24222958968476338,0.824161542402883,0.9911042065197848,1.121680509518161,0.6381850059365528,-0.5911054069286245,0.17433515720119558,-0.7266335048710635,-1.7263763774994287,-0.7137241600725114,-0.47977355924008225,0.2072649262710426,-0.21405595337623948,-0.6219852044995853,-0.39703968188452365,0.23944989460741092,0.21175014834345687,-0.20169861378646697,0.013321568450438423,0.33178986954807216,-0.6635366348114837
PC9,-0.15694159837802085,0.24225473858138535,-0.12188935098516775,0.46922195290219426,0.2190787510634745,-0.15503622321085175,-0.7900278643051384,-0.4465186684446036,0.7555268048009076,0.7257230703390181,1.0084092473897364,1.4489220647314711,0.599316413527244,0.5202899725669661,-0.0557418312532467,-0.2366829713855492,-1.2126226146994887,-1.704032287143625,-1.2321659824538855,-0.9474572273903521,-1.3361485868737806,-1.4748500778898483,-1.4609059211131956,-0.9184097081169809,-1.4383996666348442,-1.0601023869260944,0.8691874871222945,2.423586604515592,1.4928578432016277,-1.949867209647082,-0.3687790232252622,-0.5381707322711577,-0.46099402035453163,-0.18204944949803553,0.18242923533810435,-0.6571793833984828,-0.48956497390413456,0.0020614710718927587,0.36029655538428906,0.7749962559292747,0.13508594213875863,0.5958364897919785,0.260357418789523,0.5397795379404168,-0.2081463964268457,1.3036233137756388,-0.4640277735624851,2.338103415009252,1.155713049422834,1.6440542941588159
PC10,2.630906654134262,-0.6390367330528045,-0.3290824614921088,-0.9233248051721752,-1.006872309389519,1.1078096522017755,0.6815737839195549,1.167608031890714,-0.704975838260877,-0.582408120727934,-0.6017609438166136,-0.790060346680825,0.2717722292595823,-0.9652238980500574,-0.22572796312406698,-0.5639749030723026,-0.1703020736007475,-0.4517951229516848,-1.0569323709990754,-0.4210983700020825,-0.7202136648716432,0.09206096757905308,0.5197464556738647,0.806184000463671,0.4978524509147283,0.5460564900237143,-0.19051447743499325,-0.10201570034993016,-0.38140291367274326,2.5486548470984665,-0.3838942437430802,-0.7827351682528711,0.2703559202320274,-0.6224823075588095,-0.78607971828514,-2.5621440437352483,-2.794294036229208,1.2055061501981863,1.2616140254436614,0.816167444811924,-0.012765941094906485,0.5700417135079727,0.7549271671350682,0.9231381875577264,-0.33125535656778227,-0.06478801280395104,0.4853430741109319,0.680195972909978,0.0056694222835884335,1.3239772036427289
