binLeft,binRight,binCenter,withinCount,betweenCount,withinDensity,betweenDensity
4.960964679718018,5.809568828344345,5.385266754031181,10,24,0.0002866469813474233,4.2288324306490426e-06
5.809568828344345,6.658172976970673,6.233870902657509,76,385,0.0021785170582404147,6.783752024166166e-05
6.658172976970673,7.506777125597,7.082475051283836,369,3130,0.01057727361171992,0.000551510229497146
7.506777125597,8.355381274223328,7.9310791999101635,1134,14986,0.03250576768479777,0.0026405534502377706
8.355381274223328,9.203985422849655,8.77968334853649,2293,45246,0.06572815282296417,0.007972406339881107
9.203985422849655,10.052589571475982,9.62828749716282,3363,97765,0.09639937982713845,0.01722632510760015
10.052589571475982,10.90119372010231,10.476891645789145,3986,157993,0.11425748676508292,0.027838580092313926
10.90119372010231,11.749797868728638,11.325495794415474,4160,209168,0.11924514424052783,0.036855684243916546
11.749797868728638,12.598402017354964,12.174099943041801,3716,241629,0.10651801826870272,0.04257535630772082
12.598402017354964,13.447006165981293,13.022704091668128,3340,261434,0.09574009177003918,0.046065024069762484
13.447006165981293,14.29561031460762,13.871308240294457,2967,270237,0.08504815936578049,0.04761612456505439
14.29561031460762,15.144214463233947,14.719912388920783,2536,275471,0.07269367446970655,0.048538362437638434
15.144214463233947,15.992818611860274,15.568516537547112,2151,280198,0.06165776568783075,0.04937126622512502
15.992818611860274,16.8414227604866,16.417120686173437,1903,280129,0.05454892055041465,0.049359108331886906
16.8414227604866,17.69002690911293,17.265724834799766,1624,281380,0.046551469770821446,0.04957953622233438
17.69002690911293,18.53863105773926,18.114328983426095,1418,278305,0.04064654195506454,0.049037717067157476
18.53863105773926,19.387235206365585,18.96293313205242,1153,273377,0.03305039694935798,0.04816939680806441
19.387235206365585,20.23583935499191,19.81153728067875,939,268185,0.026916151548523105,0.047254559392234004
20.23583935499191,21.08444350361824,20.660141429305074,760,260253,0.021785170582404124,0.04585693027390429
21.08444350361824,21.933047652244568,21.508745577931403,613,249734,0.01757145995659701,0.04400346825982108
21.933047652244568,22.781651800870893,22.35734972655773,533,238104,0.015278284105817694,0.04195424654446925
22.781651800870893,23.630255949497222,23.205953875184058,422,227199,0.01209650261286124,0.04003277080879291
23.630255949497222,24.47886009812355,24.054558023810387,314,216488,0.009000715214309072,0.038145478135264504
24.47886009812355,25.327464246749877,24.903162172436716,267,206676,0.007653474401976218,0.03641659047653431
25.327464246749877,26.176068395376205,25.75176632106304,211,196927,0.00604825130643062,0.034698803502934264
26.176068395376205,27.02467254400253,26.600370469689366,159,187089,0.00455768700342404,0.032965334609070855
27.02467254400253,27.87327669262886,27.448974618315695,137,175947,0.003927063644459691,0.0310020991531419
27.87327669262886,28.72188084125519,28.297578766942024,100,164791,0.002866469813474227,0.029036396878295206
28.72188084125519,29.570484989881514,29.146182915568353,79,154867,0.002264511152644649,0.027287774668221947
29.570484989881514,30.419089138507843,29.99478706419468,78,143439,0.002235846454509897,0.025274145625827783
30.419089138507843,31.26769328713417,30.843391212821004,65,130719,0.0018632053787582552,0.023032864437583893
31.26769328713417,32.1162974357605,31.691995361447333,60,116861,0.001719881888084529,0.020591066111586447
32.1162974357605,32.96490158438682,32.54059951007366,37,102454,0.0010605938309854728,0.018052533243738324
32.96490158438682,33.81350573301315,33.389203658699984,30,87121,0.0008599409440422681,0.015350837924607272
33.81350573301315,34.66210988163948,34.23780780732632,19,73350,0.0005446292645601031,0.012924369116171109
34.66210988163948,35.5107140302658,35.08641195595264,12,60804,0.00034397637761691014,0.010713746963049418
35.5107140302658,36.35931817889214,35.93501610457897,6,50143,0.0001719881888084522,0.008835264357084698
36.35931817889214,37.20792232751846,36.7836202532053,8,40947,0.00022931758507794008,0.007214916730741143
37.20792232751846,38.05652647614479,37.63222440183162,17,33047,0.0004872998682906186,0.005822926055652443
38.05652647614479,38.90513062477112,38.48082855045796,6,27573,0.00017198818880845363,0.004858399858761909
38.90513062477112,39.75373477339745,39.32943269908428,8,23400,0.00022931758507793815,0.004123111619882809
39.75373477339745,40.60233892202377,40.17803684771061,6,20727,0.00017198818880845507,0.0036521254079193025
40.60233892202377,41.4509430706501,41.02664099633694,2,18496,5.732939626948454e-05,0.0032590201932201886
41.4509430706501,42.29954721927643,41.87524514496326,5,16472,0.00014332349067371135,0.0029023886582354537
42.29954721927643,43.148151367902756,42.723849293589595,7,14680,0.0002006528869431959,0.0025866358367469923
43.148151367902756,43.996755516529085,43.57245344221592,2,13077,5.732939626948454e-05,0.0023041850706498924
43.996755516529085,44.84535966515541,44.421057590842246,1,11929,2.866469813474251e-05,0.0021019059193838644
44.84535966515541,45.693963813781735,45.269661739468575,3,11113,8.599409440422682e-05,0.00195812561674178
45.693963813781735,46.542567962408064,46.118265888094896,1,10294,2.866469813474227e-05,0.0018138167100458817
46.542567962408064,47.39117211103439,46.96687003672123,2,9885,5.732939626948454e-05,0.0017417503573735709
47.39117211103439,48.23977625966072,47.815474185347554,1,9587,2.866469813474227e-05,0.001689242354693012
48.23977625966072,49.088380408287044,48.66407833397388,1,9195,2.866469813474251e-05,0.0016201714249924246
49.088380408287044,49.93698455691337,49.51268248260021,0,9387,0.0,0.0016540020844376035
49.93698455691337,50.7855887055397,50.361286631226534,0,9556,0.0,0.001683780112803424
50.7855887055397,51.63419285416603,51.20989077985287,0,9703,0.0,0.001709681711441149
51.63419285416603,52.48279700279236,52.05849492847919,0,10325,0.0,0.0018192789519354698
52.48279700279236,53.33140115141868,52.90709907710552,0,10356,0.0,0.0018247411938250733
53.33140115141868,54.18000530004501,53.75570322573185,0,10678,0.0,0.0018814780289362662
54.18000530004501,55.02860944867134,54.60430737435817,0,10522,0.0,0.0018539906181370472
55.02860944867134,55.87721359729767,55.45291152298451,0,10119,0.0,0.0017829814735723988
55.87721359729767,56.725817745924,56.30151567161083,0,9265,0.0,0.001632505519581804
56.725817745924,57.57442189455032,57.15011982023716,0,8426,0.0,0.0014846725858603776
57.57442189455032,58.42302604317665,57.99872396886349,0,7506,0.0,0.0013225673426854852
58.42302604317665,59.27163019180298,58.84732811748981,0,6442,0.0,0.0011350891049267116
59.27163019180298,60.120234340429306,59.695932266116145,0,5518,0.0,0.0009722790563467238
60.120234340429306,60.968838489055635,60.54453641474247,0,4656,0.0,0.0008203934915459127
60.968838489055635,61.81744263768196,61.393140563368796,0,3655,0.0,0.0006440159389175979
61.81744263768196,62.666046786308286,62.241744711995125,0,2937,0.0,0.0005175033687006756
62.666046786308286,63.514650934934615,63.09034886062145,0,2263,0.0,0.0003987436579399485
63.514650934934615,64.36325508356094,63.93895300924778,0,1593,0.0,0.0002806887525843296
64.36325508356094,65.21185923218727,64.7875571578741,0,1058,0.0,0.00018642102965111314
65.21185923218727,66.06046338081359,65.63616130650043,0,650,0.0,0.00011453087833007896
66.06046338081359,66.90906752943992,66.48476545512676,0,391,0.0,6.889472834932327e-05
66.90906752943992,67.75767167806626,67.33336960375308,0,198,0.0,3.4887867552854235e-05
67.75767167806626,68.60627582669258,68.18197375237942,0,98,0.0,1.7267732425150368e-05
68.60627582669258,69.4548799753189,69.03057790100574,0,44,0.0,7.752859456189961e-06
69.4548799753189,70.30348412394524,69.87918204963208,0,36,0.0,6.343248645973498e-06
70.30348412394524,71.15208827257156,70.7277861982584,0,9,0.0,1.585812161493401e-06
71.15208827257156,72.00069242119788,71.57639034688472,0,6,0.0,1.0572081076622674e-06
72.00069242119788,72.84929656982422,72.42499449551104,0,9,0.0,1.5858121614933746e-06
