mutant,geneLocus,nReplicates,meanWithin,meanToOtherMutants,nullMeanWithin,nullSdWithin,p,qBH,pBonferroni,withinMinusOthers
VC_2714,VC_2714,21,13.080974,21.667458,22.079881880378725,2.22189229759677,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.586484
ung,VC_2359,24,13.085946,18.819857,22.08185430870056,2.0817037432545855,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.7339106
potA,VC_1428,24,13.168789,25.404943,22.09890202112198,2.0789656058807267,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-12.236155
VC_1498,VC_1498,24,13.172506,19.208773,22.103253067970275,2.07616389774831,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.0362663
VC_A0340,VC_A0340,24,13.190363,19.344206,22.063181004428863,2.0850707873689203,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.153843
flgE,VC_2197,22,13.224914,19.818634,22.09235451927185,2.189314758671514,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.5937204
flgM,VC_2204,24,13.227149,19.82616,22.084216151618957,2.0926732478036545,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.5990114
greA,VC_0634,24,13.2617,19.123678,22.061531057167052,2.075178556220709,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.8619785
pilC,VC_2425,24,13.282119,19.94256,22.091178519630432,2.081901414234252,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.6604414
VC_1003,VC_1003,24,13.318496,26.205576,22.063177944374086,2.0459702468551852,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-12.88708
VC_2485,VC_2485,24,13.354227,20.787273,22.080395855522156,2.0829862037553086,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.4330463
VC_A0001,VC_A0001,24,13.369344,20.378468,22.092037233924867,2.0761342471046844,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.009124
VC_2271,VC_2271,24,13.407136,19.4916,22.075647147369384,2.077881071544097,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.084464
wavA,VC_0223,24,13.409703,18.78259,22.093254699325563,2.079999677594495,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.3728876
flgA,VC_2203,24,13.4386835,20.021105,22.087547122859956,2.07472653824573,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.5824213
VC_0161,VC_0161,24,13.445632,19.191214,22.103963067626953,2.07067568157878,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.7455816
glyA1,VC_0941,24,13.467292,22.817173,22.069258529281615,2.0838525011360747,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.349881
potB,VC_1427,24,13.520816,25.7811,22.08318357591629,2.069872667456301,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-12.260283
VC_A0171,VC_A0171,24,13.553305,21.625187,22.10247041196823,2.0807537221130534,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.071882
argF,VC_2508,21,13.603206,19.215668,22.079023391246796,2.2306519231532054,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.612462
VC_A0588,VC_A0588,24,13.636167,20.452272,22.09912721300125,2.1035624833810407,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.816106
VC_1320,VC_1320,24,13.643394,22.942455,22.073939938259123,2.066966285874155,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.299061
VC_A0940,VC_A0940,24,13.657758,19.701988,22.125303887462614,2.066245136734078,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.0442305
flgF,VC_2196,24,13.66162,21.741343,22.074547803974152,2.0541204142798146,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.079722
lpxM,VC_0212,21,13.702683,23.569603,22.04409691839218,2.202788903951347,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.8669195
nfuA,VC_2720,24,13.71824,21.546455,22.094531000614165,2.073334964548391,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.8282156
VC_A0759,VC_A0759,24,13.721105,18.822079,22.090716569232942,2.104761490734914,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.100974
VC_0196,VC_0196,24,13.725303,18.795853,22.085304383754732,2.0713353257865603,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.07055
cheW,VC_2059,24,13.742902,21.388166,22.088287740135193,2.0497288253143378,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.6452646
groS2,VC_A0819,24,13.746871,22.295683,22.09971065416336,2.0899921823946297,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.548812
VC_2224,VC_2224,24,13.765,22.106216,22.061693724250794,2.074248125015591,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.341216
wbeT,VC_0259,24,13.773129,30.954165,22.10231922264099,2.0899554531321543,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-17.181034
VC_2627,VC_2627,24,13.872829,19.768658,22.07287702703476,2.069684063574412,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.8958282
VC_1462,VC_1462,24,13.879712,19.340034,22.104583330440523,2.088194423037963,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.4603224
VC_A0999,VC_A0999,24,13.952167,19.37601,22.084101401233674,2.094431088999783,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.4238443
recO,VC_2459,24,14.000471,19.494286,22.084068224620818,2.0831335124821266,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.4938145
proQ,VC_1497,24,14.005338,20.558367,22.055586887168886,2.081370900173403,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.553029
VC_A0005,VC_A0005,24,14.013688,20.137152,22.11291639175415,2.0916491128920494,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.1234636
wbeN,VC_0251,24,14.088759,18.935516,22.116077622127534,2.071847502562927,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.846757
