binLeft,binRight,binCenter,observedCount,nullGlobalCount,nullWithinPlateCount,observedDensity,nullGlobalDensity,nullWithinPlateDensity
9.468610763549805,10.273455743789674,9.87103325366974,2,1,0,0.01572753531286077,7.863767656430384e-07,0.0
10.273455743789674,11.07830072402954,10.675878233909607,5,1,5,0.03931883828215201,7.863767656430401e-07,3.931883828215201e-06
11.07830072402954,11.88314570426941,11.480723214149474,12,10,27,0.09436521187716461,7.863767656430384e-06,2.1232172672362034e-05
11.88314570426941,12.687990684509277,12.285568194389343,20,32,105,0.15727535312860805,2.5164056500577283e-05,8.256956039251922e-05
12.687990684509277,13.492835664749146,13.090413174629212,38,43,187,0.2988231709443546,3.3814200922650654e-05,0.0001470524551752482
13.492835664749146,14.297680644989015,13.89525815486908,26,101,314,0.20445795906718997,7.942405332994688e-05,0.00024692230441191403
14.297680644989015,15.102525625228882,14.700103135108948,15,217,655,0.11795651484645603,0.00017064375814453971,0.0005150767814961913
15.102525625228882,15.907370605468751,15.504948115348817,8,673,1932,0.06291014125144308,0.0005292315632777648,0.0015192799112223503
15.907370605468751,16.71221558570862,16.309793095588685,13,2659,6523,0.10222897953359499,0.0020909758198448393,0.005129535642289539
16.71221558570862,17.517060565948487,17.11463807582855,5,9260,18938,0.03931883828215201,0.007281848849854552,0.014892403187747894
17.517060565948487,18.321905546188354,17.919483056068422,6,27864,45681,0.04718260593858241,0.02191160219787767,0.03592247703133972
18.321905546188354,19.126750526428225,18.72432803630829,4,66926,86527,0.03145507062572147,0.052629051417425875,0.06804282240079504
19.126750526428225,19.931595506668092,19.529173016548157,1,128877,132522,0.007863767656430402,0.10134587842577808,0.10421222173654697
19.931595506668092,20.73644048690796,20.334017996788027,0,195470,179774,0.0,0.15371306638024504,0.1413700966667119
20.73644048690796,21.54128546714783,21.138862977027895,2,238105,216225,0.015727535312860735,0.18724023978343524,0.1700343161511656
21.54128546714783,22.346130447387697,21.943707957267762,0,240166,233439,0.0,0.18886096229742638,0.18357100579494567
22.346130447387697,23.150975427627564,22.748552937507633,0,209067,215482,0.0,0.16440543126269347,0.16945003821429358
23.150975427627564,23.955820407867435,23.5533979177475,0,166132,170766,0.0,0.13064234482980897,0.1342864147617988
23.955820407867435,24.760665388107302,24.358242897987367,0,119657,116984,0.0,0.09409548464654925,0.09199349955198541
24.760665388107302,25.56551036834717,25.163087878227238,1,77938,71709,0.007863767656430402,0.06128863236068726,0.05639029148749677
25.56551036834717,26.37035534858704,25.967932858467105,0,46635,40511,0.0,0.03667268046576302,0.03185690915296505
26.37035534858704,27.175200328826907,26.772777838706972,0,26007,21270,0.0,0.020451300544078545,0.016726233805227465
27.175200328826907,27.980045309066774,27.577622818946843,0,13046,10472,0.0,0.010259071284579101,0.008234937489813916
27.980045309066774,28.784890289306645,28.38246779918671,0,6168,5052,0.0,0.00485037189048625,0.003972775420028621
28.784890289306645,29.589735269546512,29.187312779426577,0,2698,2505,0.0,0.0021216445137049226,0.0019698737979358155
29.589735269546512,30.39458024978638,29.992157759666448,0,1150,1174,0.0,0.0009043332804894961,0.0009232063228649291
30.39458024978638,31.199425230026247,30.79700273990631,0,498,579,0.0,0.00039161562929023396,0.0004553121473073202
31.199425230026247,32.004270210266114,31.601847720146182,0,245,293,0.0,0.00019266230758254482,0.00023040839233341075
32.004270210266114,32.809115190505985,32.406692700386046,0,127,120,0.0,9.986984923666567e-05,9.436521187716441e-05
32.809115190505985,33.613960170745855,33.21153768062592,0,68,71,0.0,5.3473620063726494e-05,5.58327503606556e-05
33.613960170745855,34.41880515098572,34.01638266086579,0,56,54,0.0,4.403709887601044e-05,4.246434534472435e-05
34.41880515098572,35.22365013122559,34.82122764110565,0,34,35,0.0,2.6736810031863247e-05,2.7523186797506286e-05
35.22365013122559,36.02849511146546,35.62607262134553,0,23,22,0.0,1.8086665609789842e-05,1.7300288844146806e-05
36.02849511146546,36.833340091705324,36.43091760158539,0,19,20,0.0,1.4941158547217828e-05,1.5727535312860873e-05
36.833340091705324,37.638185071945195,37.235762581825256,0,10,10,0.0,7.863767656430367e-06,7.863767656430367e-06
37.638185071945195,38.443030052185065,38.040607562065134,0,8,10,0.0,6.291014125144293e-06,7.863767656430367e-06
38.443030052185065,39.24787503242493,38.845452542305,0,3,3,0.0,2.359130296929131e-06,2.359130296929131e-06
39.24787503242493,40.0527200126648,39.65029752254486,0,4,3,0.0,3.1455070625721464e-06,2.3591302969291102e-06
40.0527200126648,40.85756499290467,40.45514250278474,0,0,1,0.0,0.0,7.863767656430366e-07
40.85756499290467,41.662409973144534,41.2599874830246,0,2,0,0.0,1.5727535312860872e-06,0.0
