locus,oldLocus,gene,description,logFC,qvalue
VC_RS04610,VC0928; VC_0928,rbmA,RbmA family biofilm matrix protein,0.14491132955266,0.86710694091301
VC_RS04615,VC0929; VC_0929,rbmB,glycosyl hydrolase family 28-related protein,-0.292470509559401,0.687931170306998
VC_RS04620,VC0930; VC_0930,rbmC,beta-prism lectin domain-containing protein,0.178096426062947,0.766768043095429
VC_RS04625,VC0931; VC_0931,rbmD,O-antigen ligase family protein,-0.0671538185672024,0.925243339039547
VC_RS04630,VC0932; VC_0933,rbmEF,hypothetical protein,0.176283234122206,0.845681156552457
VC_RS04635,VC0934; VC_0934,vpsL,exopolysaccharide biosynthesis glycosyltransferase VpsL,-0.0236857477804853,0.97791572103016
VC_RS04640,VC0935; VC_0935,vpsM,exopolysaccharide biosynthesis beta-barrel protein VpsM,-0.0117621256156443,0.992574128686933
VC_RS04645,VC0936; VC_0936,vpsN,exopolysaccharide export protein VpsN,-0.153139980064291,0.83117003178799
VC_RS04650,VC0937; VC_0937,vpsO,exopolysaccharide regulatory tyrosine autokinase VpsO,-0.298502647630491,0.551790377975136
VC_RS04655,VC0938; VC_0938,vpsP,exopolysaccharide biosynthesis protein VpsP,-0.044104994497913,0.972591899046259
VC_RS04660,VC0939; VC_0939,vpsQ,exopolysaccharide biosynthesis protein VpsQ,0.0203685512174567,0.979955555366574
VC_RS04665,VC0940; VC_0940,,YitT family protein,-0.62245191455775,0.407939072763512
VC_RS04670,VC0941; VC_0941,glyA,serine hydroxymethyltransferase,-0.152378454804914,0.73112364652922
VC_RS04675,VC0942; VC_0942,,hypothetical protein,0.031576552531495,0.96390766228262
VC_RS04680,VC0943; VC_0943,lipA,lipoyl synthase,-0.407817155990647,0.421582743744366
VC_RS04685,VC0944; VC_0944,lipB,lipoyl(octanoyl) transferase LipB,-0.305363727434549,0.437164707560492
VC_RS04690,VC0945; VC_0945,ybeD,DUF493 family protein YbeD,-0.121857724765592,0.893658961144639
VC_RS04695,VC0947; VC_0947,,serine hydrolase,-0.0926797882702163,0.903923443781249
VC_RS04700,VC0948; VC_0948,rlpA,septal ring lytic transglycosylase RlpA,-0.208313491152576,0.651144520549828
VC_RS04705,VC0949; VC_0949,mrdB,peptidoglycan glycosyltransferase MrdB,-0.0368069309325577,0.97144927025074
VC_RS04710,VC0950; VC_0950,mrdA,penicillin-binding protein 2,-0.363790136532252,0.86106335449641
VC_RS04715,VC0951; VC_0951,rlmH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,-0.366133495660132,0.282627949877214
VC_RS04720,VC0952; VC_0952,rsfS,ribosome silencing factor,-0.169147860868652,0.784878061394013
VC_RS04725,VC0953; VC_0953,holA,DNA polymerase III subunit delta,0.0342592555136036,0.974861034148083
VC_RS04730,VC0954; VC_0954,lptE,LPS assembly lipoprotein LptE,0.1529929716706,0.695952427188307
VC_RS04735,VC0956; VC_0956,leuS,leucine--tRNA ligase,-0.127545513053062,0.852744635450348
VC_RS04740,VC0957; VC_0957,,zinc ribbon-containing protein,0.159054691293543,0.821919273571301
