mutant,display,gene,peakFrame,annotation,color
wbeN,wbeN,VC_0251,30,O-Antigen Biosynthesis,#0096ff
VC_0161,VC_0161,VC_0161,15,Other,#bdbdbd
VC_A1081,VC_A1081,VC_A1081,15,Other,#bdbdbd
VC_2271,VC_2271,VC_2271,25,Other,#bdbdbd
VC_0113,VC_0113,VC_0113,20,Other,#bdbdbd
rluE,rluE,VC_1140,19,Other,#bdbdbd
VC_2756,VC_2756,VC_2756,22,Other,#bdbdbd
recO,recO,VC_2459,26,Other,#bdbdbd
VC_0196,VC_0196,VC_0196,14,Other,#bdbdbd
VC_1462,VC_1462,VC_1462,13,Other,#bdbdbd
pabC,pabC,VC_2018,16,Other,#bdbdbd
wavA,wavA,VC_0223,30,O-Antigen Biosynthesis,#0096ff
wbeM,wbeM,VC_0250,30,O-Antigen Biosynthesis,#0096ff
VC_A0187,VC_A0187,VC_A0187,17,Other,#bdbdbd
trpR,trpR,VC_0701,15,Other,#bdbdbd
cheW,cheW,VC_2059,13,Motility,#ff0004
flgA,flgA,VC_2203,12,Motility,#ff0004
VC_0419,VC_0419,VC_0419,12,Other,#bdbdbd
VC_A0840,VC_A0840,VC_A0840,13,Other,#bdbdbd
flgK,flgK,VC_2191,13,Motility,#ff0004
fliJ,fliJ,VC_2129,13,Motility,#ff0004
VC_0929,VC_0929,VC_0929,17,Other,#bdbdbd
VC_A0146,VC_A0146,VC_A0146,13,Other,#bdbdbd
dnaN,dnaN,VC_0013,12,Other,#bdbdbd
wzt,wzt,VC_0247,12,O-Antigen Biosynthesis,#0096ff
ectA,ectA,VC_A0825,12,Other,#bdbdbd
potC,potC,VC_1426,13,Polyamine Import,#14f7f0
VC_1291,VC_1291,VC_1291,13,Other,#bdbdbd
VC_1498,VC_1498,VC_1498,13,Other,#bdbdbd
VC_A0759,VC_A0759,VC_A0759,13,Other,#bdbdbd
VC_2311,VC_2311,VC_2311,13,Other,#bdbdbd
VC_2453,VC_2453,VC_2453,13,Other,#bdbdbd
VC_1933,VC_1933,VC_1933,13,Other,#bdbdbd
rsmJ,rsmJ,VC_0073,14,Other,#bdbdbd
VC_A0999,VC_A0999,VC_A0999,13,Other,#bdbdbd
argF,argF,VC_2508,13,Other,#bdbdbd
greA,greA,VC_0634,13,Other,#bdbdbd
rluD,rluD,VC_0709,14,Other,#bdbdbd
argR,argR,VC_0431,13,Other,#bdbdbd
cdgJ,cdgJ,VC_0137,15,Other,#bdbdbd
VC_1885,VC_1885,VC_1885,24,Other,#bdbdbd
flhG,flhG,VC_2067,23,Motility,#ff0004
VC_1003,VC_1003,VC_1003,28,Other,#bdbdbd
lipA,lipA,VC_0943,30,Pyruvate Flux,#39ff14
pdhE2,pdhE2,VC_2413,29,Pyruvate Flux,#39ff14
glyA1,glyA1,VC_0941,21,Other,#bdbdbd
gshB,gshB,VC_0468,19,Other,#bdbdbd
nfuA,nfuA,VC_2720,18,Other,#bdbdbd
VC_2270,VC_2270,VC_2270,20,Other,#bdbdbd
vibB,vibB,VC_0771,23,Vibriobactin Biosynthesis,#a200ff
mltF,mltF,VC_0866,15,Other,#bdbdbd
aroQ,aroQ,VC_0297,15,Other,#bdbdbd
guaB,guaB,VC_0767,12,Other,#bdbdbd
