locus,oldLocus,gene,description,logFC,qvalue
VC_RS09585,VC1992; VC_1992,purU,formyltetrahydrofolate deformylase,-0.744176885962168,0.001886697670284
VC_RS09590,VC1993; VC_1993,,"NADPH-dependent 2,4-dienoyl-CoA reductase",0.853754977015711,0.0006127816874385
VC_RS09595,VC1994; VC_1994,sppA,signal peptide peptidase SppA,-0.524994753701493,0.0030044660990643
VC_RS09600,VC1995; VC_1995,ansA,asparaginase,-0.571393139048548,0.0080011342355979
VC_RS09605,VC1996; VC_1996,,YeaC family protein,-2.01394728263593,6.55219823996151e-05
VC_RS09610,VC1997; VC_1997,,DUF2989 domain-containing protein,-0.375683517624886,0.0332270077630394
VC_RS09615,VC1998; VC_1998,msrB,peptide-methionine (R)-S-oxide reductase MsrB,0.347143218374661,0.116542135468522
VC_RS09620,VC2000; VC_2000,gap,type I glyceraldehyde-3-phosphate dehydrogenase,1.07924648429043,0.0001758289942325
VC_RS09625,VC2001; VC_2001,,D-hexose-6-phosphate mutarotase,0.839502757187057,0.0054072103101872
VC_RS09630,VC2002; VC_2002,,DUF2860 domain-containing protein,-0.737119799072507,0.0003488188719608
VC_RS09635,VC2003; VC_2003,rlmA,23S rRNA (guanine(745)-N(1))-methyltransferase,-0.769283426681719,0.0001397256888559
VC_RS09640,VC2004; VC_2004,,ChaN family lipoprotein,-2.47167726445499,7.1743036352319e-08
VC_RS09645,VC2005; VC_2005,,hypothetical protein,-2.16183822502662,3.29004670109422e-07
VC_RS09650,VC2006; VC_2006,,chemotaxis protein CheV,-0.486299777801043,0.0289712879609199
VC_RS09655,VC2007; VC_2007,,sugar metabolism global transcriptional regulator Mlc,0.435049649491871,0.144069157924641
VC_RS09660,VC2008; VC_2008,pyk,pyruvate kinase,0.359194941912328,0.0655337720892769
VC_RS09665,VC2009; VC_2009,,patatin-like phospholipase family protein,0.409736651771456,0.0079781441371861
VC_RS09670,VC_2010,,YnhF family membrane protein,1.39162963705256,0.0001601848297366
VC_RS09675,VC2011; VC_2011,,porin family protein,-1.50394684968057,0.0001083603007008
VC_RS09680,VC2012; VC_2012,,sodium-dependent transporter,-1.40250061918767,5.07007484884496e-05
VC_RS09685,,,MetS family NSS transporter small subunit,-1.35120018055419,0.067277216989781
VC_RS09690,VC2013; VC_2013,ptsG,PTS glucose transporter subunit IIBC,-0.383552456088101,0.216407124964564
VC_RS09695,VC2014; VC_2014,,TatD family hydrolase,-0.504973698446295,0.0319948703634901
VC_RS09700,VC2015; VC_2015,,DNA polymerase III subunit delta',0.519480644274105,0.0113086381618029
VC_RS09705,VC2016; VC_2016,tmk,dTMP kinase,0.916270265902663,0.0007740290176387
VC_RS09710,VC2017; VC_2017,mltG,endolytic transglycosylase MltG,1.07605147998553,1.11114243406817e-05
VC_RS09715,VC2018; VC_2018,pabC,aminodeoxychorismate lyase,0.556745209488645,0.0021939166315988
VC_RS09720,VC2019; VC_2019,fabF,beta-ketoacyl-ACP synthase II,0.192583211920509,0.296486001852652
VC_RS09725,VC2020; VC_2020,acpP,acyl carrier protein,-1.61679985448244,1.58985403239834e-05
VC_RS09730,VC2021; VC_2021,fabG,3-oxoacyl-ACP reductase FabG,0.710386194659383,0.0001956697427309
VC_RS09735,VC2022; VC_2022,fabD,ACP S-malonyltransferase,0.171674990752047,0.246891148033995
VC_RS09740,VC2023; VC_2023,,beta-ketoacyl-ACP synthase III,-0.289462437506592,0.0449566040932298
VC_RS09745,VC2024; VC_2024,plsX,phosphate acyltransferase PlsX,-0.425920900838927,0.161123418889612
VC_RS09750,VC2025; VC_2025,rpmF,50S ribosomal protein L32,-2.41113769946256,1.26823083073365e-07
VC_RS09755,VC2026; VC_2026,yceD,23S rRNA accumulation protein YceD,-2.5260823859926,5.47986555832784e-07
VC_RS09760,VC2027; VC_2027,,Maf family protein,-2.36504953689775,7.50486416467057e-08
VC_RS09765,VC2028; VC_2028,rluC,23S rRNA pseudouridine(955/2504/2580) synthase RluC,-0.39542992014784,0.0221349832151085
