mutant,geneLocus,nReps,umap1,umap2,isChrII,locusNumRaw,locusNum
VC_1887,VC_1887,21,5.737728,-3.9166899,False,1887.0,1887.0
flgD,VC_2198,21,11.3847065,-0.8749308,False,2198.0,2198.0
flgK,VC_2191,24,9.973168,6.939962,False,2191.0,2191.0
VC_2523,VC_2523,24,8.5690365,7.818808,False,2523.0,2523.0
fliR,VC_2121,24,8.4372635,-0.51690966,False,2121.0,2121.0
argR,VC_0431,24,8.296946,6.740332,False,431.0,431.0
flrB,VC_2136,24,8.24296,0.2025363,False,2136.0,2136.0
rjg,VC_0264,24,8.995974,9.701143,False,264.0,264.0
fliA,VC_2066,24,9.746681,-0.7050063,False,2066.0,2066.0
flgM,VC_2204,24,8.998831,8.462651,False,2204.0,2204.0
flrA,VC_2137,24,9.952884,-0.26307783,False,2137.0,2137.0
VC_1291,VC_1291,24,9.147829,6.963305,False,1291.0,1291.0
thiI,VC_0894,24,7.9481893,7.8322244,False,894.0,894.0
flhB,VC_2120,24,8.432025,-0.46706006,False,2120.0,2120.0
aroE,VC_0056,21,8.620153,8.912189,False,56.0,56.0
wbeN,VC_0251,24,9.17806,5.842745,False,251.0,251.0
wbeL,VC_0249,24,3.3112752,-0.4976326,False,249.0,249.0
pstB1,VC_0726,24,8.720351,9.543771,False,726.0,726.0
VC_A0146,VC_A0146,24,10.129699,6.2292933,True,146.0,2902.0
VC_0289,VC_0289,24,9.059544,10.119856,False,289.0,289.0
VC_A0005,VC_A0005,24,8.884161,8.456551,True,5.0,2761.0
mltF,VC_0866,24,8.213866,5.1007915,False,866.0,866.0
VC_A0726,VC_A0726,24,8.504649,7.596466,True,726.0,3482.0
VC_1885,VC_1885,24,2.5991125,6.1788673,False,1885.0,1885.0
flgF,VC_2196,24,9.130087,-0.29319635,False,2196.0,2196.0
VC_2441,VC_2441,24,7.9915853,5.3054805,False,2441.0,2441.0
VC_1710,VC_1710,24,9.031502,9.50801,False,1710.0,1710.0
aroQ,VC_0297,17,6.779415,5.727731,False,297.0,297.0
VC_1359,VC_1359,24,5.050165,-4.340071,False,1359.0,1359.0
VC_A0328,VC_A0328,24,9.906948,8.616253,True,328.0,3084.0
VC_1350,VC_1350,24,9.722412,8.101425,False,1350.0,1350.0
manB,VC_0242,24,9.455541,4.4613967,False,242.0,242.0
mrcA,VC_2635,24,8.434365,1.2531039,False,2635.0,2635.0
VC_A0079,VC_A0079,24,9.466559,0.8914179,True,79.0,2835.0
potA,VC_1428,24,9.990192,1.5757009,False,1428.0,1428.0
VC_A0340,VC_A0340,24,9.8056135,8.572406,True,340.0,3096.0
bioD,VC_1115,24,4.887242,-4.878695,False,1115.0,1115.0
flaA,VC_2188,24,9.167621,-1.1691588,False,2188.0,2188.0
wavL,VC_0239,24,4.0039525,-0.10081697,False,239.0,239.0
VC_0745,VC_0745,24,7.668859,3.7496986,False,745.0,745.0
VC_2485,VC_2485,24,9.117984,3.0780163,False,2485.0,2485.0
rimO,VC_2620,24,9.205739,10.122924,False,2620.0,2620.0
bioA,VC_1111,24,4.912826,-4.776598,False,1111.0,1111.0
wbeT,VC_0259,24,4.8338675,-4.038552,False,259.0,259.0
VC_0929,VC_0929,21,9.974925,5.2742314,False,929.0,929.0
flgT,VC_2208,24,10.051446,-1.1498948,False,2208.0,2208.0
glyA1,VC_0941,24,6.58524,2.1572502,False,941.0,941.0
VC_1003,VC_1003,24,5.4151196,0.69941,False,1003.0,1003.0
flgA,VC_2203,24,10.839439,4.4352584,False,2203.0,2203.0
VC_A0187,VC_A0187,24,9.394318,5.107556,True,187.0,2943.0
VC_1652,VC_1652,24,9.152342,9.834001,False,1652.0,1652.0
