mutant,geneLocus,nReps,umap1,umap2,functionalGroup,color
VC_1887,VC_1887,21,5.737728,-3.9166899,Unclassified,#939090
flgD,VC_2198,21,11.3847065,-0.8749308,Motility,#ff0004
flgK,VC_2191,24,9.973168,6.939962,Motility,#ff0004
VC_2523,VC_2523,24,8.5690365,7.818808,Unclassified,#939090
fliR,VC_2121,24,8.4372635,-0.51690966,Motility,#ff0004
argR,VC_0431,24,8.296946,6.740332,Unclassified,#939090
flrB,VC_2136,24,8.24296,0.2025363,Motility,#ff0004
rjg,VC_0264,24,8.995974,9.701143,Unclassified,#939090
fliA,VC_2066,24,9.746681,-0.7050063,Motility,#ff0004
flgM,VC_2204,24,8.998831,8.462651,Motility,#ff0004
flrA,VC_2137,24,9.952884,-0.26307783,Motility,#ff0004
VC_1291,VC_1291,24,9.147829,6.963305,Unclassified,#939090
thiI,VC_0894,24,7.9481893,7.8322244,Unclassified,#939090
flhB,VC_2120,24,8.432025,-0.46706006,Motility,#ff0004
aroE,VC_0056,21,8.620153,8.912189,Unclassified,#939090
wbeN,VC_0251,24,9.17806,5.842745,O-Antigen Biosynthesis,#0096ff
wbeL,VC_0249,24,3.3112752,-0.4976326,O-Antigen Biosynthesis,#0096ff
pstB1,VC_0726,24,8.720351,9.543771,Unclassified,#939090
VC_A0146,VC_A0146,24,10.129699,6.2292933,Unclassified,#939090
VC_0289,VC_0289,24,9.059544,10.119856,Unclassified,#939090
VC_A0005,VC_A0005,24,8.884161,8.456551,Unclassified,#939090
mltF,VC_0866,24,8.213866,5.1007915,Unclassified,#939090
VC_A0726,VC_A0726,24,8.504649,7.596466,Unclassified,#939090
VC_1885,VC_1885,24,2.5991125,6.1788673,Unclassified,#939090
flgF,VC_2196,24,9.130087,-0.29319635,Motility,#ff0004
VC_2441,VC_2441,24,7.9915853,5.3054805,Unclassified,#939090
VC_1710,VC_1710,24,9.031502,9.50801,Unclassified,#939090
aroQ,VC_0297,17,6.779415,5.727731,Unclassified,#939090
VC_1359,VC_1359,24,5.050165,-4.340071,Unclassified,#939090
VC_A0328,VC_A0328,24,9.906948,8.616253,Unclassified,#939090
VC_1350,VC_1350,24,9.722412,8.101425,Unclassified,#939090
manB,VC_0242,24,9.455541,4.4613967,O-Antigen Biosynthesis,#0096ff
mrcA,VC_2635,24,8.434365,1.2531039,Unclassified,#939090
VC_A0079,VC_A0079,24,9.466559,0.8914179,Unclassified,#939090
potA,VC_1428,24,9.990192,1.5757009,Polyamine Import,#14f7f0
VC_A0340,VC_A0340,24,9.8056135,8.572406,Unclassified,#939090
bioD,VC_1115,24,4.887242,-4.878695,Biotin Biosynthesis,#ff9f1c
flaA,VC_2188,24,9.167621,-1.1691588,Motility,#ff0004
wavL,VC_0239,24,4.0039525,-0.10081697,O-Antigen Biosynthesis,#0096ff
VC_0745,VC_0745,24,7.668859,3.7496986,Unclassified,#939090
VC_2485,VC_2485,24,9.117984,3.0780163,Unclassified,#939090
rimO,VC_2620,24,9.205739,10.122924,Unclassified,#939090
bioA,VC_1111,24,4.912826,-4.776598,Biotin Biosynthesis,#ff9f1c
wbeT,VC_0259,24,4.8338675,-4.038552,O-Antigen Biosynthesis,#0096ff
VC_0929,VC_0929,21,9.974925,5.2742314,Unclassified,#939090
flgT,VC_2208,24,10.051446,-1.1498948,Motility,#ff0004
