mutant,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
bioA,21.520788410240975,4.630019032937498,-5.751038350541061,-4.523110655503201,0.2180895340907677,0.22455413325160928,-0.7640697248529387,0.10344683716713139,-2.8496583369312525,0.8959513328404303,2.31280958085042,-1.7927065518041319,1.3041084094027724,-0.36560558903902124,-1.2897775396259668,1.0471151343663854,2.104581436846785,-0.09253666092164807,-0.03787983196791468,1.0353781726725537,4.071059495686996,1.1445070430035762,-2.3306858673414013,-0.9321796322520889,-0.5008566415083191,-1.6307423943563957,0.132120960788321,-0.3144541000750196,-0.24158315739095326,-0.13747973449797846,-0.2833623209479875,-1.3911672701424478,-0.9946760520789395,-1.6664816135301175,0.9018186991215288,-0.5076959189273094,0.8818444685511899,0.9561194053060591,-1.276251737148054,-1.3329321613231753,-0.43550117062548266,-0.20668576827294885,0.15132234449511384,0.3932149180341008,0.3445858231713467,0.07644551434619415,-0.7643817959615946,-0.4501503312169914,0.547029660146991,-0.04893538273871825
bioC,21.481386207161954,5.0127534708279065,-4.948958156591905,-3.5654205067272007,0.45516646503892266,-0.22350134989450493,-2.123094741760482,0.6820956086790569,-4.005047699328911,2.13537661509086,3.65376012668104,-0.7705471332317766,1.3964512308856107,-2.749142389580201,-0.117877021832655,3.05009079749919,0.8997592541314886,0.6743934372960065,0.19156018952102719,1.5910155270941915,3.8227671559333465,1.3644063375804731,-1.9268420905358972,-0.5393187221787784,-0.26571245593352216,-1.8348638101112256,-0.14010687309870917,-1.0106009384360102,-1.5296898386408038,0.07391547732173281,-0.34925719644396436,-1.715649137972537,-0.90292214782011,-0.7905147724358329,-0.3370790114788037,-0.9614451918147359,1.8542809194710754,0.7498684747289028,-0.9647902741961013,-1.243998353323075,0.37495100237714507,0.44460220429689135,0.24314480724863594,0.29531726683837506,0.48017500668445484,0.528278486408427,-0.10304565868139656,-0.18048045733146384,1.076145873071796,-0.39884344019836226
bioD,21.111733721102397,6.392991683378068,-5.833182172244757,-3.3812423871195842,0.19103019265810534,0.36013459524551983,-0.9625448987664861,0.8650992807763369,-4.3009099795064305,1.6382607211094526,2.0173317284241588,-0.27842262009194385,1.4219348468494637,-1.3115431197968535,-0.9190130866526679,1.5310724935567892,0.9139111155809863,-0.0560935422969114,-0.6020777820680543,-1.1177395038247606,1.5570779192531088,0.6694829118934371,-3.0163229584255355,-1.5483762156271568,-0.4951001798753435,-2.0677973106698797,0.039733487689252577,-0.03626132767525968,-1.1312572903990985,0.223887578222264,-0.12038532121025308,-1.1479767711254563,-0.9291891174594391,-1.41843607538516,0.5371199086465495,-0.43009410832593653,1.4080830542503349,0.3174934453455378,-0.4922959837808596,-0.9319846290184293,0.11828302270751889,-0.6182585102038181,0.29975334678242377,0.2939637914868223,0.5059724012211031,0.21582691046935312,-0.4888912199218553,-0.20571005968141257,0.8419178360340183,-0.3332462712853673
bioF,21.652772533080658,1.0607427513010168,-5.503863840698059,-3.8271116929732205,0.9124340310248867,-0.09052320602154441,-0.3074271070872706,0.1559740490669802,-2.809855668498151,2.5252096098148593,2.486356134475316,-1.7104438605382695,1.2418316585923055,-1.5127893416760496,-0.49833674725989663,1.024044156842408,0.5444304433300664,0.04978871019554841,-0.4406553396234419,0.46443673844640876,4.040966071912776,1.0607309854055804,-2.002645005674073,-2.1496749058984417,-1.4900479764115087,-1.8770883112840888,-0.20744281733199046,0.005885045076892234,-0.6331692469060091,-0.6454439511966299,0.30816764328761337,-1.4501749890471896,-0.5388777890898728,-1.229209505925938,0.042379007110129666,-0.9300301926441368,0.6404130299900987,0.7658796559269737,-1.714818510659696,-1.7168236388325067,-0.2652666170678617,0.011045594790900365,0.03014459420553412,0.5330284862433534,0.4408286763774627,-0.4028279808900469,-0.7853550724272835,0.052524872343576,0.7244754359194183,-0.14663629981014945
cheW,-5.041435142792073,12.273540977755914,5.8732263771195194,-1.8795671785109795,4.189462664552419,-2.0131111671247206,0.04242295638990997,2.149630007333629,-2.782136299744837,-1.721756661249266,-1.486402528088742,0.9087811186568983,-1.4707066756255105,-0.33394383977500497,1.7986572627095854,0.010320805555634503,0.16774902848462417,0.7615850159964049,-1.1253514845100805,0.3501266494271791,-1.983784969755669,-0.3796547636072889,-0.5869420308584882,0.03554913940311456,0.10460870388099519,1.1700364038827038,0.02161012545693043,0.7815241932909387,0.03669814552057665,0.269784055416631,-1.962572862711971,-0.8713964826131989,0.4281344179042379,-0.4185123715293646,-0.10248734001131335,0.716624351073267,-0.5280785836328834,-0.8323980231342012,-1.6437039211500277,-1.6971423877607117,-0.4176005872009223,0.4773898844850998,0.11480195055582712,0.722795498871073,-0.7063937353406707,-0.00948365656973278,0.11623247391567681,0.24414437346235368,-0.7652131239136972,0.6155367532317599
flaA,19.866264589495053,5.700840886540359,3.6550074648651685,-5.611571287935905,3.6830055687066334,-1.9175648184487317,0.4139870391259536,1.4092727478095952,-0.5309205099641675,1.5196037735033565,1.2381745642596318,0.9027535694104936,-1.098177919287001,1.699609951553096,2.0672503966633755,0.4224340920118024,-0.8576714483261324,-0.4781277918212444,2.7170705626887877,-0.2714917349709705,-0.4073412039004645,-0.4255579996753187,0.12128837026517406,-1.0362878581652932,1.3868063715777714,-0.2270210608926318,0.8180479293613496,0.4475705304440638,0.016971111415280356,0.3301976818130199,0.5339481094557643,0.6733436129248177,-0.8551117579466052,0.298004102181467,0.8285590949202127,-0.5040715184562329,0.22901680338356972,0.25880860220146734,0.3277075085146264,0.5148205646414673,0.14416762009559447,-0.1304263420621096,-0.3245741819063864,0.12114175330349893,-0.08872549185263666,-0.3964230118867721,0.6492847045903178,-0.2661629440655165,-0.2895120016280177,-0.4275803236318306
flgA,-1.14566948068498,10.088739584912211,5.657885866371412,-1.6308040690616137,2.612743468407496,-1.6947841677892024,1.5120749622111598,1.6931827890597977,-3.040962581235913,0.3361078081719613,0.6248354288062572,-0.004603677775590819,0.3332276143668039,0.9186871744821807,2.423596433332616,0.02418388380485122,0.21384092145033395,-1.4516026193266436,-0.4895844009032331,0.779806964430147,-0.9474128508765488,-0.5348344788213575,-0.3390318354398042,0.11732671909638195,-0.04140820656656985,0.8602268090632135,1.4503253313338942,0.6915099571050842,0.15088986905859045,0.30011267671750763,-0.6949330693498503,-0.6670960839264731,0.29038589547070137,0.28345494042428543,-0.39078277942812506,0.8396662616549024,0.3981223972656023,-0.5916886572161631,-0.6701252143264292,-1.5958959825959353,-1.2988187656694097,0.18395146423049308,-0.4343341095702958,0.26203101083090563,0.1694709129440588,-0.5163442539642159,0.1261619712470144,-0.4227031481530217,-0.049048645506645755,0.018540336778177006
flgB,13.130100461601065,0.6951659897389282,0.9991992856703167,-1.7249062909316486,0.09597924890987584,-1.419088662580021,1.9692542149310868,0.5926215579285429,-4.926989879281832,2.8466906271031007,3.2441320537801963,-1.121158968946026,-0.5879627765011741,1.7439083567990812,1.7111549201029783,-0.3680537279800891,-0.9112225222487461,-2.476058978778412,-0.0526333511281806,0.5523618322331456,-0.031134693816157605,0.7713528461965576,0.6713778857425325,-2.332029539324364,1.551727633163754,-1.7642000278723589,0.7060549078334677,-0.5763043563607355,-0.43792040026539214,-0.3320589454947014,0.09692310389981257,0.486189041744967,-0.23696652639050508,-0.6500208349267844,0.4875050409310224,0.16149663273787124,0.14194925681418435,-0.0412730899357986,0.30519682875124265,0.15782991109914196,-0.14458088477393063,0.00351838954155715,0.08739852991951877,-0.1767126371849571,0.030696547744179584,1.0491243139161452,0.3593892621120419,-0.5290140258844702,-0.29591347418780867,-0.07861674843430962
flgD,-3.4947988600889706,8.135498940090207,-4.41098340206885,-5.048292167430473,1.1871017276784435,-0.043417249986682,-1.0059355199488664,1.8668687690455736,-5.4861765796474105,2.587141617911114,3.391237028264248,-0.6260732355909268,0.312376737708871,2.0597971153766776,-0.3089447905621573,-1.0230772683743183,1.588802438035736,-1.5887539850134096,-3.5331566418815057,2.1587484652967524,-2.1161488793939647,2.017201865584529,-0.01106188651288399,-1.8277330121099578,2.8951008456166587,-2.428898116561664,2.50186621798088,0.003921254981835602,-1.0937278899321325,-0.8475749105815749,0.8692381530986123,0.10170154475334058,1.1352035270179843,0.9537525285253784,0.6432714579768195,0.49680101753865596,-0.29966407300015174,-0.9400380058600203,-1.4233538933392673,0.6226510085336026,0.42947844341127817,0.7601296329655014,0.5225009140045783,-0.4473948733732492,-0.49049004262461726,0.5495543029939041,-1.3372132980512461,-0.17671319170080294,0.04196875936163521,0.7767177470929674
flgE,-5.260009714652613,7.32611723554403,-6.017749505622774,1.906131255181088,4.950790910581105,-2.6745421309509596,0.7350384534157344,0.7624749378506165,-0.9321246609931599,1.6092825098015986,1.6854291656956653,-1.7538232018691982,2.4517415773454614,1.0145350110458955,-1.646704228492118,0.3232249284346143,-1.5591383256013325,-1.285420408872028,-2.893446625339663,0.02085658230207672,-2.3452341187987424,1.348980773586477,1.9542616649429128,-1.7192924850741558,2.9437875583848996,0.6347951554674262,2.0065281269789095,0.7649000011674032,0.9904896663737258,-0.6178987774914548,-0.26392283851286547,0.9008525085842388,-0.048804662102605305,-0.42297339941230716,-0.957930097410269,1.600904683635305,-1.9509690406180713,-2.371928548293045,-1.0094497647327458,-0.8698278242132392,-1.3415319210599352,0.6839011806842634,2.4226741160765553,-0.9638316353921398,0.563487195155296,0.24146706899718515,-1.2738045042598138,0.622193222039581,-1.1397372779268724,0.8078031115700722
