,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
WT,0.9895833333333335,0.00625,0.004166666666666667,0.0,0.0,0.0,0.0,0.0
vpsL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rbmB,0.01875,0.0,0.9729166666666668,0.0,0.008333333333333333,0.0,0.0,0.0
hapR,0.0,0.0,0.00125,0.9925,0.0,0.0,0.00625,0.0
potD1,0.003870967741935484,0.0,0.009032258064516128,0.0,0.9870967741935481,0.0,0.0,0.0
flaA,0.0,0.0,0.0,0.007083333333333333,0.0,0.9929166666666667,0.0,0.0
luxO_D47E,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vpvC_W240R,0.006249999999999999,0.0,0.015,0.0,0.0,0.0,0.0,0.97875
