geneLocus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
VC_0013,-1.8445569066703075e-07,0.00019898645109165208,0.00023197323661777372,0.0002709104700125085,0.00036891221995003225,0.0021447243868482793,0.08569508752330282,0.13822124526640958,0.23595554548549388,0.5130398872597992,0.8593855720082731,1.1855995047514059,1.4144953699463951,1.497393849238821,1.4976958867410741,1.491601423738516,1.453122539660695,1.401472003302903,1.3267396711022827,1.2915993578675105,1.2189917641880637,1.1622755917846679,1.157497956932194,1.2093254075707012,1.2364437495589882,1.2313666315362215,1.2380356572604798,1.246960947090545,1.2583378495395945,1.2610066111374967,1.2561444185501363
VC_0021,0.0,8.682651978692262e-05,0.00011656757903153386,0.00017586179055204955,0.0013432426655138059,0.012030223677364817,0.05643639432028699,0.163766625704456,0.3640264082765922,0.6362047468095662,0.9411871505158664,1.0909214557634084,1.0645944737016528,0.8792942535042454,0.7165397874371303,0.5863722121325708,0.5218835219737958,0.4496403351468604,0.3887704981633091,0.3754695299565112,0.32505059387058255,0.2758514954154438,0.23297779595771936,0.21070631671974244,0.20231032964692638,0.19379496468150656,0.20177602752854848,0.20654101121739157,0.21359991232113412,0.20985562775215136,0.20641269171510612
VC_0056,0.0,8.008984198249646e-05,0.00011535920985738279,0.00012760087203152876,0.0001956433789120618,0.0006396259890375509,0.0036832478303336553,0.014903616221570971,0.0558814647794931,0.17314977273778745,0.4214656029102694,0.7607699555280066,1.0210534542121037,1.04321954509238,0.7832573229097327,0.4234867365927343,0.2086270635847084,0.11474582068140705,0.07000991613145295,0.04722077391951391,0.03351189789143993,0.022242624927858393,0.01559437305094959,0.010760689486950031,0.007935614340380693,0.009270294242047325,0.011466283068485197,0.014637825214069044,0.01780938959713408,0.02097720597840918,0.02220780003703067
VC_0073,0.0,0.0005027685131679622,0.000559302650237725,0.0005968331816246613,0.002577017076712352,0.016376828151018596,0.04989275276556415,0.09451050779911063,0.1436219287147624,0.2588896017574382,0.504070190431818,0.7973137312428702,1.050556074876226,1.177085648335746,1.1913632978225885,1.130794707132622,1.0827066591374723,1.032479852125047,0.9891712588970327,0.9493300235883705,0.9271999022021026,0.8922080334758283,0.8224511473088625,0.7392367236210594,0.6547865475352911,0.5856432972085871,0.5357619191234854,0.4893377025990315,0.44609736778314646,0.39543342445464297,0.349721168128779
VC_0092,-5.228894498637666e-06,9.591234529874039e-05,0.00017765927332014388,0.00021194335011185398,0.000287523469691847,0.0009096492238992008,0.0041578167501583945,0.016292254190404108,0.05990130183733694,0.1809505082779817,0.4188961585882146,0.7540652672261358,1.0884708506574143,1.410454110984055,1.5971170161723685,1.5980930786510328,1.5643201921960592,1.559009926261093,1.5548588771524048,1.5582302547120095,1.561706160051371,1.5357362575501299,1.493548462480953,1.4538301803437665,1.4242440305843875,1.3805441873189224,1.3166502329767733,1.189043108088138,1.0565768428703883,0.9788258499932456,0.9196208187955964
VC_0113,0.0,0.0001071877293800834,0.00012712482284513952,0.0001611425139400562,0.00021148924532385545,0.0005899007351784167,0.003291090915410094,0.01519346581752155,0.05720553673979168,0.1607517440119612,0.36853222366844435,0.6862216387066388,1.0737315981314222,1.497405663467823,1.842864614264559,2.123987171205713,2.302268582457151,2.4068613507488177,2.4639175856023896,2.4456818694871596,2.4965158917360606,2.4941210384792605,2.459922831233401,2.4211795947522363,2.429973272190609,2.4928574001402595,2.4646721905234354,2.4480195132180524,2.4975326975655534,2.52617527638906,2.532996363981407
VC_0134,1.821293704623959e-06,0.0003611830563549606,0.00045379429795472154,0.00047683989478691774,0.0007338495033210979,0.002456808491305847,0.015386292195502856,0.06781611446793528,0.19777199878429644,0.4167734616684991,0.6356115952342208,0.7652266355846747,0.6314296502228965,0.43878652231671944,0.25027408035171805,0.16648261130142752,0.12842440072635528,0.10520095484806956,0.09062820867461104,0.08120987835686037,0.07465765312149877,0.060377824984218925,0.05271233646951597,0.047162530817521746,0.04257827514046892,0.039288581095419925,0.039108291615517744,0.037486546038429644,0.03616973737136129,0.033712924655528276,0.03174105591910379
VC_0137,-5.136014370491392e-06,0.0030269500854039947,0.0031667738180662756,0.0046893005597661965,0.004392139678411449,0.004708823134641664,0.005583351656353333,0.010588522511397025,0.03140041470453355,0.11232227533506867,0.3211346506465402,0.6697946918868989,1.0708326844923417,1.5164979454352405,1.6241297282924267,1.5022499416687232,1.153816917825544,0.7586578993509048,0.5667281090745642,0.48362700793963104,0.4489445106253996,0.4123122607085619,0.39776895804324186,0.37121495447747377,0.3460445110511839,0.33069492990964383,0.3125793706122377,0.30604739916064455,0.3082188828471719,0.31297170881509256,0.3219122138863038
VC_0161,-6.265833463163804e-08,4.7849491892643366e-05,6.328139973891719e-05,8.742659768442638e-05,0.0001853409729357276,0.0009816488981547779,0.005938682548290028,0.024032556284729487,0.07578182866246568,0.17975586560831902,0.3690643921328301,0.7008381507994762,1.1451744045432348,1.5821686332204432,1.8368325636069736,1.956703128303939,1.966412980457553,1.9524669133127754,1.9361501746552265,1.8762552804740982,1.8258156020198364,1.8191778152542313,1.7905289737435504,1.8123597590590372,1.8641943185978638,1.895021339770278,1.8976930869954707,1.9088563888442498,1.9224259026597235,1.9318068198885465,1.9327972149505699
VC_0196,-2.8316202869933846e-05,0.00026283226650452093,0.00030303279443186275,0.0003938896143475753,0.0006552260036959164,0.0026156411759227327,0.011970226268219256,0.043189389462337614,0.110316285389571,0.23489381490753225,0.45978341000498835,0.7397799025389937,1.0610940502564767,1.2865924045458035,1.4064550249023469,1.391808550580933,1.3979800520460939,1.3713631237277313,1.3436936532807593,1.2845648861943655,1.2476293951960247,1.1834774980994416,1.1966761757707505,1.1659599958168838,1.1696721032259851,1.1513837692050013,1.1697403065483247,1.1808985478693796,1.2016168362726782,1.2023677456665263,1.1988975033357316
