species,plateId,wellId,LB_condition,umap1,umap2
S. aureus,260624_Drawer8,A4,100% LB,16.368553,11.747955
A. baumannii,260624_Drawer8,A5,100% LB,13.280778,6.791511
A. baylyi,260624_Drawer8,B1,100% LB,0.29685685,11.489247
P. aeruginosa,260624_Drawer8,B2,100% LB,-9.051916,6.3325925
A. baylyi,260624_Drawer8,B4,100% LB,0.4890888,11.502681
P. aeruginosa,260624_Drawer8,B5,100% LB,-9.032996,7.019537
K. pneumoniae,260624_Drawer8,C1,100% LB,2.2640932,-1.5275252
S. aureus,260624_Drawer8,C3,100% LB,17.09803,12.987039
K. pneumoniae,260624_Drawer8,C4,100% LB,2.582276,-1.6354792
S. aureus,260624_Drawer8,C6,100% LB,17.010347,13.429821
A. baumannii,260624_Drawer8,D1,100% LB,13.178916,6.625493
V. cholerae,260624_Drawer8,D2,100% LB,6.4134746,-13.3535595
A. baylyi,260624_Drawer8,D3,100% LB,-0.072703965,11.429561
A. baumannii,260624_Drawer8,D4,100% LB,13.305866,7.091001
V. cholerae,260624_Drawer8,D5,100% LB,6.258135,-12.560465
A. baylyi,260624_Drawer8,D6,100% LB,0.6298817,11.698196
P. aeruginosa,260624_Drawer8,E1,100% LB,-8.528643,7.212357
K. pneumoniae,260624_Drawer8,E3,100% LB,2.2739308,-1.0841337
P. aeruginosa,260624_Drawer8,E4,100% LB,-8.459292,7.131607
K. pneumoniae,260624_Drawer8,E6,100% LB,2.3502502,-1.752621
E. faecalis,260624_Drawer8,F1,100% LB,1.7392389,-4.3808427
S. aureus,260624_Drawer8,F2,100% LB,17.258112,13.189339
A. baumannii,260624_Drawer8,F3,100% LB,12.8798685,6.292982
E. faecalis,260624_Drawer8,F4,100% LB,2.0806503,-3.9448783
S. aureus,260624_Drawer8,F5,100% LB,16.82737,12.487894
A. baumannii,260624_Drawer8,F6,100% LB,13.677981,7.3227277
V. cholerae,260624_Drawer8,G1,100% LB,6.4484334,-12.876283
