geneLocus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
VC_0001,0.0,9.260245460888205e-05,9.494491920655792e-05,0.00012484448712535761,0.0001131470442951727,0.0006479767857828671,0.0035490639896333226,0.027185868453090036,0.13720892217907849,0.3447963045322182,0.5312407743977069,0.2907755454157928,0.03717675442585958,0.007569556536662965,0.001989298388071335,0.0010096008773051472,6.299408703893567e-05,0.00041608850004738176,0.00013979144887048416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0002,0.0,4.297031626487465e-05,7.600730635273175e-05,0.00022609290885155616,0.0012096501253343326,0.008504992832967625,0.04189983701559312,0.1444184089821372,0.3028253303288882,0.31217431637185017,0.1219524932697762,0.009723870395187535,8.16675245862743e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0003,0.0,0.00010282230107421158,0.00014919128827205772,0.0002828207131607009,0.00014229701337739457,0.0007628173659610711,0.0035680686601708414,0.01883567206669883,0.08137733140678012,0.23650540822345115,0.3203587377643876,0.14735957758073162,0.012346262535131297,0.005925030544555063,0.003223522175103502,0.0004160889815626132,4.418680363898727e-05,0.0009941832277335554,0.0010719367022592016,0.0008118830992758525,0.0011590767143281524,0.0012292998256506634,0.0009288927049404445,0.0006030329566036279,0.00012565562628360087,0.0009798432694393784,0.0013964334281054045,0.0011796452393340736,0.0006824984852855821,0.0008365192241995455,0.0013078982925304092
VC_0005/VC_0006,0.0,1.7835939442799795e-05,0.00011453461737487942,0.0015554908163404563,0.012113663258718002,0.06503092589394902,0.1679500382805306,0.33180371948363263,0.18713891514492959,0.03496821593333204,0.005061758334095512,0.0015668584546756478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0008,0.0,0.0,0.0,1.713713444420077e-05,4.3569892343379075e-05,0.00018719359387454665,0.0014148717163519166,0.0101227622943284,0.06348998085022563,0.2496688709898017,0.6032044964048361,0.7591042816324629,0.23701285171258465,0.00854857397404183,0.001451944577178877,2.780772330507457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0009,0.0,6.0502933212869066e-05,0.0001929432401869101,0.0001770661782705231,0.00020597953611817399,0.0005644540231360407,0.0025141378856065686,0.01788347369017007,0.09509311220675178,0.3161501675748939,0.7023851980991769,0.6587337022994881,0.2557728456354054,0.014645282421048553,0.00023642353725867958,4.415241208235129e-05,8.901364802397177e-05,9.18735408641224e-05,4.7624829748105744e-05,0.0,8.312505781648545e-05,6.776953039746372e-05,0.0,7.848358537077311e-05,0.00014983865874991162,0.00016250190075560062,0.00014866735957395823,9.135961029478729e-05,5.738398919081902e-05,0.0,4.753346758310514e-05
VC_0010,0.0,3.345504294935436e-05,0.0028256487475542915,0.002822797040473076,0.0035908369741362717,0.008300300708073303,0.03302572530652551,0.11504140546828119,0.3199111961075902,0.5966849808021926,0.4319269069910209,0.06566178441199072,0.017634749672443203,0.013776027718223668,0.005929855126542962,0.006774482599100512,0.008651481135487875,0.007940249700061363,0.009330031730892396,0.00929339711580318,0.008505411483710534,0.010212328140007186,0.012362446797077646,0.011535893801258393,0.013153674631728798,0.011339128620862006,0.012147737817826612,0.013720387295685971,0.007903737737601939,0.011945906695932557,0.00856024068683745
VC_0011,0.0,0.0007480292306774998,0.0011333151813051488,0.0005292129933792143,0.0006410887772739245,0.001671610688860692,0.008579910584042658,0.03157596654098901,0.103275761355729,0.27700688488061054,0.34666610842852214,0.16180093495740042,0.030440084816623057,0.005584442449075916,0.00198496949926338,0.00043628581024840387,0.00022352147038589722,0.00021659282734158846,0.0,0.0,0.0,0.0,3.8091877467108114e-05,0.0001503473795919508,0.0,0.0006334720757147034,0.0,0.000676999280395271,0.0002238065073397878,0.00030641094687539007,0.0003551632271499131
VC_0013,0.0,7.808438249304525e-05,7.24936897087565e-05,0.00012163096816167928,0.000896755977130005,0.0082366263376529,0.03935459431606798,0.18050933987333934,0.5318329043781738,1.1652585673747335,1.8644125307623411,2.30131577729171,2.567052396917269,2.6219429932361953,2.4929595081845783,1.826631374405324,1.7063072720203893,1.5377949978300118,1.365756293340333,1.3199288168342462,1.3039094738546737,1.2991117095900828,1.3523285723398717,1.4067047498865197,1.3685886729351748,1.3781573168639334,1.3649504240987897,1.263969457332822,1.1419798472639537,0.8954104095665317,0.6560880436110685
VC_0014,0.0,0.00012289038462499015,0.00010527767430595365,0.00013548304452300075,0.000179229552640653,0.0020271709654452147,0.015930556921060084,0.08673117219888216,0.298550545107357,0.5558092865576489,0.4121987731936542,0.069468911340388,0.0006166308798629878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
