,WT,vpsL,rbmB,hapR,potD1,flaA,luxO_D47E,vpvC_W240R
biomass,-0.7835474466773905,-1.031657112836553,-0.4315893517635138,0.45630821243517405,0.6786621309665728,-0.029084368079407404,-0.8106663742465188,1.951574310201636
colony_area_um2_mean,-0.66027824955688,,-0.4837470413284338,-0.165649294689175,-0.29167125336899663,-0.11335239886147691,-0.5091364892547819,2.223834727059745
colony_area_um2_std,-0.8031859571861865,,-0.6266749479262841,0.09152188634538067,-0.18216436640926514,0.16496905177618257,-0.731959626546345,2.087493959946518
colony_bgCV,-0.4185752805336682,,-0.7730786114342142,-0.41920120848690345,-0.7675664754225622,0.60046488713236,-0.23377122108594128,2.01172790983093
colony_centroidOffset_um_mean,-0.5074834938425926,,-0.5079804987349334,-0.31636646983754513,-0.45838367187132273,-0.047625399311992465,-0.4007615826595353,2.2386011162579216
colony_eccentricity_mean,-0.3031508071635724,,-1.2671792221433495,0.32108962769266164,0.06415305675322762,1.6683607172089445,-1.0462913277579826,0.5630179554100835
colony_majorAxisLength_um_mean,-0.7951324792189473,,-0.5650133947366501,-0.14100598718731813,-0.24140456276432193,0.2973922074361075,-0.6626387083827028,2.107802924853834
colony_meanIntensity_kurtosis,1.453979327771832,,0.7496623536912915,0.431802974789672,0.3151450286050152,-1.1174163437208702,-1.150358714701676,-0.6828146264352645
colony_meanIntensity_mean,-0.03299553339006037,,0.4512197861324788,0.6866530575200116,0.8813358203558314,0.6258666142985477,-0.6961720859919022,-1.915907658924917
colony_mstEdgeMax_um_mean,-0.26922084734427787,,0.5990872959537095,-0.3636939257441715,-0.30312888134768695,-1.5935661004140895,0.2791334139827581,1.651389044913753
colony_nnDistance1_um_mean,-0.09973088416554912,,0.39627006033432693,-0.6189947442477266,-0.5589551212924075,-1.3740933525810988,0.5337584663978268,1.7217455755546303
colony_nnDistance1_um_std,-0.4370264093698038,,0.9867249883990984,0.7388554095766504,0.6478427325482369,-1.886755457348156,-0.41769205427724665,0.3680507904712253
nColonies,-0.2613059669826884,,-0.3527630554266294,0.39032578818039143,0.35602938001391354,1.8079106590614773,-0.5356772323145115,-1.4045195725319513
whole_entropy,-0.4917813433816476,-0.9397804787594802,-0.7131451558014864,-0.06565687432058631,-0.6522868289781681,0.8652828056600016,-0.0484897028783855,2.0458575784597506
whole_haralick_0,0.059463501150092385,0.3637578107696666,0.9544165808519202,-0.1293545872954397,1.6445818315661236,-1.1592027891713947,-0.4279076881644872,-1.3057546597064806
whole_haralick_1,-0.1474220753150467,-0.08307997212761312,-0.8047289582200452,-0.722802923089978,-1.2040474579147913,1.9608190121783498,0.5532003673827025,0.44806200710642236
whole_haralick_2,-0.42772665167918916,-2.156070887198784,0.20752131651445402,0.5923121213349309,0.7271902830576011,0.019717089031343994,-0.07627063268645293,1.113327361626096
whole_haralick_3,-0.46808636973499274,-0.604161503336074,-0.5004868593926375,-0.331370695874203,-0.4914099661572645,0.1981428803881671,-0.1975820514155583,2.394954565522563
whole_haralick_4,-0.19029603437210504,-0.3090692439431098,0.6962309375907243,0.5127352548899725,1.858177696140156,-1.3970806666030753,-0.709250312767363,-0.4614476309351993
whole_haralick_5,0.13266134992310727,-0.48462865900443675,1.3658577321808878,0.5687219997912003,0.8945322975937297,-1.8719399114966044,-0.4910705415548294,-0.11413426754545115
whole_haralick_6,-0.46385963253275325,-0.6054336588945082,-0.485451981466755,-0.31824404558690517,-0.46498820869219215,0.13725273065502733,-0.20820442575546744,2.408929222273554
whole_haralick_7,-0.5057280832365885,-1.048760610308959,-0.674470505425301,0.00016714315855857534,-0.535539164784966,0.8421273249358109,-0.12195282012761523,2.0441567157890628
whole_haralick_8,-0.3180777713121843,-0.6478771262476549,-0.8214167264650409,-0.20858619050248958,-1.1560908571229818,1.23346292617106,0.23046311492328297,1.6881226305559986
whole_haralick_9,-0.17913210984957542,-0.44405415744665344,0.7610662470299514,0.5844505099711456,1.8651415870645123,-1.1484522558801833,-0.6277531253777875,-0.811266695511412
whole_haralick_10,0.10598063743059671,0.16929903902117902,-0.7749257576571849,-0.6167648784912872,-1.6928387346085527,1.5022052988666632,0.6902020797904332,0.6168423156481473
whole_haralick_11,0.7251126714932072,1.4241016587717057,0.071067677594752,-0.5798069860581406,-1.0083327012071144,0.3540411404233265,0.6196886719998173,-1.605872133017552
whole_haralick_12,-0.44759730823149946,-2.1426561615206583,0.16360010031315872,0.6478827316046804,0.718546046846804,0.2298143844546207,-0.23604391520844997,1.0664541217413412
