locus,oldLocus,gene,description,logFC,qvalue
VC_RS00005,VC0002; VC_0002,mioC,FMN-binding protein MioC,1.09425893120968,5.55661081113492e-05
VC_RS00010,VC0003; VC_0003,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,0.115309961399798,0.466803187438602
VC_RS00015,VC0004; VC_0004,yidC,membrane protein insertase YidC,-1.47661213583609,2.05266420216631e-06
VC_RS00020,VC0005; VC_0005,yidD,membrane protein insertion efficiency factor YidD,-1.92201333735284,6.05859493220192e-06
VC_RS00025,VC0006; VC_0006,rnpA,ribonuclease P protein component,-1.60293034225172,0.0005216296478157
VC_RS00030,VC0007; VC_0007,rpmH,50S ribosomal protein L34,-1.36997323293081,0.0002933859688521
VC_RS00035,VC0008; VC_0008,,amino acid ABC transporter ATP-binding protein,0.623095868106308,0.0378077828846452
VC_RS00040,VC0009; VC_0009,,amino acid ABC transporter permease,-0.197316858968717,0.584739577760816
VC_RS00045,VC0010; VC_0010,,amino acid ABC transporter substrate-binding protein,0.337157879572095,0.405661562637034
VC_RS00050,VC0012; VC_0012,dnaA,chromosomal replication initiator protein DnaA,-0.62323248944928,0.000587135070817
VC_RS00055,VC0013; VC_0013,dnaN,DNA polymerase III subunit beta,-0.933971463237968,0.0005146479917826
VC_RS00060,VC0014; VC_0014,recF,DNA replication/repair protein RecF,-0.777028642546723,9.13795265688836e-05
VC_RS00065,VC0015; VC_0015,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,-0.446282870319219,0.0211645157140517
VC_RS00070,VC0015a; VC_0016,,hypothetical protein,-1.08788880869012,0.0025486802597199
VC_RS00075,VC0018; VC_0018,,Hsp20 family protein,3.60791603258142,5.95561873901449e-05
VC_RS00080,VC0019; VC_0019,,valine--pyruvate transaminase,-0.184804169277967,0.3389141619693
VC_RS00085,VC0020; VC_0020,glyS,glycine--tRNA ligase subunit beta,-0.337615305728785,0.0606254374798072
VC_RS00090,VC0021; VC_0021,glyQ,glycine--tRNA ligase subunit alpha,-0.626526035280697,0.0016998866727289
VC_RS00095,VC0022; VC_0022,,TMEM165/GDT1 family protein,-1.03619726696858,0.0005362384443852
VC_RS00100,VC0023; VC_0023,,hypothetical protein,-0.586128314596112,0.132900448790232
VC_RS00105,VC0024; VC_0024,tusA,sulfurtransferase TusA,0.135149289732924,0.483023313151371
VC_RS00110,VC0025; VC_0025,,hypothetical protein,-0.637825472586482,0.0786778375172518
VC_RS00115,VC0026; VC_0026,,MDR family oxidoreductase,0.402341447924295,0.138191032827869
VC_RS00120,VC0027; VC_0027,ilvA,"threonine ammonia-lyase, biosynthetic",0.532963503362379,0.0397181523652342
VC_RS00125,VC0028; VC_0028,ilvD,dihydroxy-acid dehydratase,0.757461689803085,0.128689986269477
VC_RS00130,VC0029; VC_0029,ilvE,branched-chain-amino-acid transaminase,0.405774849457139,0.0903678838941056
VC_RS00135,VC0030; VC_0030,ilvM,acetolactate synthase 2 small subunit,-0.359635554394694,0.276323906840153
VC_RS00140,VC0031; VC_0031,ilvG,acetolactate synthase 2 catalytic subunit,0.176717699238611,0.476701331457602
VC_RS00145,VC0032; VC_0032,,YifB family Mg chelatase-like AAA ATPase,0.991082240818657,0.0011624697687432
VC_RS00150,VC0033; VC_0033,,acyltransferase,0.789705285794255,0.0045115806624605
VC_RS00155,VC0034; VC_0034,,thiol:disulfide interchange protein DsbA/DsbL,0.0368259904179822,0.896557684458452
VC_RS00160,VC0035; VC_0035,,serine/threonine protein kinase,-1.16453369143991,5.41427002462465e-06
VC_RS00165,VC0036; VC_0036,ccoG,cytochrome c oxidase accessory protein CcoG,0.0485568231908237,0.816778091256085
VC_RS00170,VC0037; VC_0037,,YihD family protein,0.103619301005623,0.734031709404684
VC_RS00175,VC0039; VC_0039,,sporulation protein,1.36638265006633,2.4707721910683e-06
VC_RS00180,VC0040; VC_0040,,PAQR family membrane homeostasis protein TrhA,-0.583323801342789,0.0662924162280496
VC_RS00185,VC0041; VC_0041,,DUF3157 family protein,-0.475808797301811,0.0256634872710272
VC_RS00190,VC0042; VC_0042,,TrkH family potassium uptake protein,-0.50777223191114,0.0143348108221124
VC_RS00195,VC0043; VC_0043,trkA,Trk system potassium transporter TrkA,-0.272653183922045,0.193285462570333
VC_RS00200,VC0044; VC_0044,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,-0.686624758261012,0.0002245425613606
VC_RS00205,VC0045; VC_0045,fmt,methionyl-tRNA formyltransferase,-0.628940176393349,0.0026464932912249
VC_RS00210,VC0046; VC_0046,def,peptide deformylase,-0.136581500839683,0.423937676060046
VC_RS00215,VC0047; VC_0047,,LysM peptidoglycan-binding domain-containing protein,0.609141043965193,0.0058761526763499
VC_RS00220,VC0048; VC_0048,dprA,DNA-processing protein DprA,-0.421788378512767,0.344460178518014
VC_RS00225,VC0049; VC_0049,,DUF494 family protein,-0.310826362365298,0.179907777617588
VC_RS00230,VC0050; VC_0050,,DNA topoisomerase family protein,0.198861524561253,0.768474110098611
VC_RS00235,VC0051; VC_0051,,5-(carboxyamino)imidazole ribonucleotide synthase,-1.9792073654582,4.05818789078146e-06
VC_RS00240,VC0052; VC_0052,purE,5-(carboxyamino)imidazole ribonucleotide mutase,-2.01279556678676,1.6550548014643e-05
VC_RS00245,VC0054; VC_0054,,L-threonylcarbamoyladenylate synthase,0.520649213195423,0.190081347062787
VC_RS00250,VC0055; VC_0055,hemF,oxygen-dependent coproporphyrinogen oxidase,-0.393566760137558,0.325559089197405
VC_RS00255,VC0056; VC_0056,aroE,shikimate dehydrogenase,-0.270342781438854,0.126694851704823
VC_RS00260,VC0057; VC_0057,,DUF1488 domain-containing protein,-0.277546007314852,0.215548848726896
VC_RS00265,VC0058; VC_0058,,gamma carbonic anhydrase family protein,0.941888480293774,6.87928128540211e-05
VC_RS00300,VC0060; VC_0060,crcB,fluoride efflux transporter CrcB,0.0085193303897208,0.972028226977391
VC_RS00305,VC0061; VC_0061,thiC,phosphomethylpyrimidine synthase ThiC,-0.0293317008512382,0.898707888361565
VC_RS00310,VC0062; VC_0062,,thiamine phosphate synthase,-0.102630117943818,0.51015362335811
VC_RS00315,VC0063; VC_0063,thiF,thiazole biosynthesis adenylyltransferase ThiF,0.15717221283828,0.446441352377801
VC_RS00320,VC0064; VC_0064,thiS,sulfur carrier protein ThiS,0.231377937734573,0.365349497939183
VC_RS00325,VC0065; VC_0065,,thiazole synthase,0.335506757932857,0.0994903136406266
VC_RS00330,VC0066; VC_0066,thiH,2-iminoacetate synthase ThiH,-0.270805011155195,0.489148276792524
VC_RS00335,VC0067; VC_0067,,aminopeptidase P family protein,-0.385970736698755,0.127171732957893
VC_RS00340,VC0068; VC_0068,,LysR substrate-binding domain-containing protein,-1.03902777432431,0.001098565535502
VC_RS00345,VC0069; VC_0069,,multidrug effflux MFS transporter,-1.06964451523146,0.0001785961336847
VC_RS00350,VC0070; VC_0070,,hypothetical protein,-0.586872517105065,0.0455661562606459
VC_RS00355,VC0071; VC_0071,asnC,transcriptional regulator AsnC,0.0822372368776037,0.650962606581634
VC_RS00360,VC0072; VC_0072,,sensor domain-containing protein,-0.351380465182542,0.0652326786246321
VC_RS00365,VC0073; VC_0073,,class I SAM-dependent methyltransferase,-0.677759557249193,0.0004322128372494
VC_RS00370,VC0074; VC_0074,,hypothetical protein,-0.157349044566687,0.528159653571868
VC_RS00375,VC0075; VC_0075,,carboxylate/amino acid/amine transporter,0.341325776654791,0.0525486019041863
VC_RS00380,VC0076; VC_0076,uspA,universal stress protein UspA,1.38951048442757,4.85588643246873e-05
VC_RS00385,VC0078; VC_0078,ftnA,non-heme ferritin,0.965253216311348,0.0002515833097992
VC_RS00390,VC0079; VC_0079,uspB,universal stress protein UspB,-0.0830549765317785,0.706399012460672
VC_RS00395,VC0080; VC_0080,,NAD(P)/FAD-dependent oxidoreductase,-1.17675366910825,0.0039744249634818
VC_RS00400,VC0081; VC_0081,,DMT family transporter,0.193499686243313,0.477878502094137
VC_RS00405,VC0082; VC_0082,rmuC,DNA recombination protein RmuC,-0.29833137411458,0.0614207247960346
VC_RS00410,VC0083; VC_0083,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",-0.224878266505019,0.131166069502836
VC_RS00415,VC0084; VC_0084,,ubiquinone biosynthesis accessory factor UbiJ,-0.168145294666572,0.892961545677304
VC_RS00420,VC0085; VC_0085,ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB,0.0475037394101019,0.734031709404684
VC_RS00425,VC0086; VC_0086,tatA,Sec-independent protein translocase subunit TatA,-2.11074060077722,0.0036664726337963
VC_RS00430,VC0087; VC_0087,tatB,Sec-independent protein translocase protein TatB,0.215495665143203,0.354854447288328
VC_RS00435,VC0088; VC_0088,tatC,twin-arginine translocase subunit TatC,-0.596539280212865,0.0013515664648998
VC_RS00440,VC0089; VC_0089,,cytochrome-c peroxidase,2.37946101607013,9.30001140743815e-05
VC_RS00445,VC0090; VC_0090,dinF,MATE family efflux transporter DinF,-1.09155359052227,0.0004369154375367
VC_RS00450,VC0091; VC_0091,,class I SAM-dependent methyltransferase,-1.25787978650991,3.2664778113148e-05
VC_RS00455,VC0092; VC_0092,lexA,transcriptional repressor LexA,-0.859390155089489,0.003159055234673
VC_RS00460,VC0093; VC_0093,plsB,glycerol-3-phosphate 1-O-acyltransferase PlsB,-1.08373241346729,2.27441344723337e-05
VC_RS00465,VC0094; VC_0094,ubiA,4-hydroxybenzoate octaprenyltransferase,-0.797735915917067,0.0001159446482082
VC_RS00470,VC0095; VC_0095,,chorismate lyase,-0.884985237515377,0.0020931226749489
VC_RS00475,VC0097; VC_0097,,flagellar basal body-associated protein FliL,-0.0467542691592366,0.805829863153782
VC_RS00480,VC0098; VC_0098,,methyl-accepting chemotaxis protein,-0.123619672743703,0.571873644710821
VC_RS00485,VC0099; VC_0099,glpG,rhomboid family intramembrane serine protease GlpG,-0.43760588801044,0.0620660020286353
VC_RS00490,VC0100; VC_0100,glpE,thiosulfate sulfurtransferase GlpE,-0.426882156954798,0.251165908318674
VC_RS00495,VC0103; VC_0103,,TatD family hydrolase,-0.21468123096413,0.265191484021222
VC_RS00500,VC0105; VC_0105,hemB,porphobilinogen synthase,0.783417480809287,0.0004137798553255
VC_RS00505,VC0106; VC_0106,,GNAT family N-acetyltransferase,-0.238470186385624,0.258245700869279
VC_RS00510,VC0108; VC_0108,polA,DNA polymerase I,-0.927880762206137,0.0001683835231367
VC_RS00515,VC0111; VC_0111,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,-0.284391314394084,0.155517469343937
VC_RS00520,VC0112; VC_0112,,c-type cytochrome,0.389635751101758,0.0915715006481193
VC_RS00525,VC0113; VC_0113,,class I SAM-dependent methyltransferase,-1.3254077068963,5.55402654308271e-05
VC_RS00530,VC0114; VC_0114,yihI,Der GTPase-activating protein YihI,-0.993454831844059,5.60470423612531e-05
VC_RS00535,VC0115; VC_0115,,DUF2489 domain-containing protein,-1.31072301882905,4.71894056917855e-05
VC_RS00540,VC0116; VC_0116,hemN,oxygen-independent coproporphyrinogen III oxidase,-0.303701265593819,0.0486225951801079
VC_RS00545,VC0117; VC_0117,,heme biosynthesis protein HemY,-0.219429778158471,0.236507786511298
VC_RS00550,VC0118; VC_0118,,uroporphyrinogen-III C-methyltransferase,-0.252957868867733,0.1304114069897
VC_RS00555,VC0119; VC_0119,,uroporphyrinogen-III synthase,-0.232605012466765,0.253815565859851
VC_RS00560,VC0120; VC_0120,hemC,hydroxymethylbilane synthase,-0.210017437806728,0.10817683883273
VC_RS00565,VC0122; VC_0122,,class I adenylate cyclase,-0.438880168952661,0.264332925097475
VC_RS00570,VC0123; VC_0123,cyaY,iron donor protein CyaY,-0.0843472227645013,0.7225887619894
VC_RS00575,VC0124; VC_0124,,LPS translocon maturation chaperone LptM,-0.624711429661219,0.106430698700143
VC_RS00580,VC0125; VC_0125,lysA,diaminopimelate decarboxylase,0.038634141322213,0.869276811061919
VC_RS00585,VC0126; VC_0126,dapF,diaminopimelate epimerase,0.232635207978557,0.294018672926129
VC_RS00590,VC0127; VC_0127,,DUF484 family protein,0.377837501115627,0.0333193383634602
VC_RS00595,VC0128; VC_0128,xerC,tyrosine recombinase XerC,0.162645882323291,0.386924867476627
VC_RS00600,VC0129; VC_0129,yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,0.327119160030931,0.197109561712441
VC_RS00605,VC0130; VC_0130,cdpA,cyclic di-GMP phosphodiesterase CdpA,-0.469106093856157,0.0105408562690706
VC_RS00610,VC0131; VC_0131,,tRNA-uridine aminocarboxypropyltransferase,0.563193117794648,0.023568132203248
VC_RS00615,VC0132; VC_0132,,COG3650 family protein,0.0863549082220883,0.60583871105247
VC_RS00620,VC0134; VC_0134,,Cof-type HAD-IIB family hydrolase,1.00637206955057,0.000944222280545
VC_RS00625,VC0135; VC_0135,,alpha/beta fold hydrolase,-0.360050600882119,0.0267453229973069
VC_RS00630,VC0136; VC_0136,rhtB,homoserine/homoserine lactone efflux protein,0.256249733919529,0.627034814753125
VC_RS00635,VC0137; VC_0137,,EAL and HDOD domain-containing protein,-0.390648055311302,0.366633479802831
VC_RS00640,VC0139; VC_0139,,Dps family protein,0.974534968334025,0.003366655284521
VC_RS00645,VC0140; VC_0140,,DUF2500 domain-containing protein,-0.835975278081283,0.006090390583122
VC_RS00650,VC0142; VC_0142,,DUF4145 domain-containing protein,-1.93945615744698,0.0367011920789304
VC_RS00655,VC0143; VC_0143,,hypothetical protein,-1.24633279807397,0.0121527868746306
VC_RS00660,VC0144; VC_0144,,lysoplasmalogenase,-0.438512459113467,0.115049917108077
VC_RS00665,VC0145; VC_0145,,DUF1145 domain-containing protein,0.332391481033612,0.329188350110426
VC_RS00670,VC0146; VC_0146,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,0.114898159346695,0.503920695036529
VC_RS00675,VC0147; VC_0147,ftsY,signal recognition particle-docking protein FtsY,0.0767911536793773,0.651541893256321
VC_RS00680,VC0148; VC_0148,ftsE,cell division ATP-binding protein FtsE,0.136848715739433,0.448294543516234
VC_RS00685,VC0149; VC_0149,ftsX,permease-like cell division protein FtsX,0.311604269283475,0.0594454832031405
VC_RS00690,VC0150; VC_0150,rpoH,RNA polymerase sigma factor RpoH,1.18438486255669,1.45903588099903e-05
VC_RS00695,VC0151; VC_0151,sthA,Si-specific NAD(P)(+) transhydrogenase,-0.165804930126844,0.434331762365452
VC_RS00700,VC0152; VC_0152,fabR,HTH-type transcriptional repressor FabR,0.148594829186501,0.388544075829323
VC_RS00705,VC0153; VC_0153,,YijD family membrane protein,0.283278826168909,0.176292583988007
VC_RS00710,VC0154; VC_0154,trmA,tRNA (uridine(54)-C5)-methyltransferase TrmA,-0.336491539885922,0.114901067209088
VC_RS00715,VC0156; VC_0156,btuB,TonB-dependent vitamin B12 receptor,-1.68674009915491,1.46036386848542e-06
VC_RS00720,VC0157; VC_0157,,S8 family peptidase,4.29413105122835,4.02864042476592e-07
VC_RS00725,VC0158; VC_0158,murI,glutamate racemase,0.0286032956290411,0.889518715060614
VC_RS00730,VC0159; VC_0159,,RNA recognition motif domain-containing protein,0.161161434736852,0.483824504739185
VC_RS00760,VC0161; VC_0161,ilvY,HTH-type transcriptional activator IlvY,-1.06730059224068,0.0003974987975839
VC_RS00765,VC0162; VC_0162,ilvC,ketol-acid reductoisomerase,-1.1544551396064,6.32261884113722e-05
VC_RS00770,VC0163; VC_0163,,ubiquinone biosynthesis accessory factor UbiK,-0.271451744338598,0.261172577459198
VC_RS00775,VC0164; VC_0164,vexB,multidrug efflux RND transporter permease subunit VexB,-0.49489536317455,0.0181816263794308
VC_RS00780,VC0165; VC_0165,vexA,multidrug efflux RND transporter periplasmic adaptor subunit VexA,-0.865369498500618,0.0004144521515021
VC_RS00785,VC0166; VC_0166,vexR,TetR family transcriptional regulator VexR,-0.603126534678876,0.0050882905801135
VC_RS00790,VC0167; VC_0167,rep,DNA helicase Rep,0.526621495641584,0.0027416558325479
VC_RS00795,VC0168; VC_0168,,c-type cytochrome,0.566935219773496,0.0084693843971644
VC_RS00830,VC0170; VC_0170,,dipeptide ABC transporter ATP-binding protein,-0.173477993980934,0.469470897841054
VC_RS00835,VC0171; VC_0171,,ABC transporter substrate-binding protein,0.0765627377068866,0.845400151848014
VC_RS00840,VC0172; VC_0172,,ABC transporter permease,-0.76286081146183,0.0333193383634602
VC_RS00845,VC0173; VC_0173,,ABC transporter permease,-0.369508499212523,0.205151710562887
VC_RS00850,VC0174; VC_0174,,SPOR domain-containing protein,0.602554504851405,0.0085608919922593
VC_RS00855,VC0175; VC_0175,,anti-phage dCTP deaminase,-1.60083614608256,0.0005432844065148
VC_RS00860,,,hypothetical protein,-2.42153678916771,0.0005094647887256
VC_RS00865,VC0176; VC_0176,,helix-turn-helix domain-containing protein,-0.138845084445613,0.637611905646789
VC_RS00870,VC0177; VC_0177,vspR,transcriptional regulator VspR,-0.677993737987938,0.0364564545109089
VC_RS00875,,,hypothetical protein,-0.308696648844977,0.620874036757911
VC_RS00880,VC0178; VC_0178,,CBASS cGAMP-activated phospholipase,-0.389067359983342,0.410225469972881
VC_RS00885,VC0179; VC_0179,dncV,cyclic AMP-GMP synthase,0.563546383614841,0.0241641220847693
VC_RS00890,VC0180; VC_0180,,E2/UBC family protein,0.401295053363723,0.432946237797054
VC_RS00895,VC0181; VC_0181,,CBASS system CD-NTase/cGAS isopeptidase Cap3,-0.0999806660896306,0.765322270523878
VC_RS00900,VC0182; VC_0182,,hypothetical protein,-0.925905564773113,0.0429292250819372
VC_RS00905,VC0183; VC_0183,,hypothetical protein,-1.05888168499512,0.0002655550199945
VC_RS00910,VC0184; VC_0184,,hypothetical protein,-1.89787333871921,0.0004692839262232
VC_RS00915,VC0185; VC_0185,,site-specific integrase,-0.682102748641788,0.0632178750451823
VC_RS00920,VC0186; VC_0186,gorA,glutathione-disulfide reductase,0.555811896193553,0.0061131590617487
VC_RS00925,VC0187; VC_0187,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.18497657960297,0.253387976680315
VC_RS00930,VC0188; VC_0188,prlC,oligopeptidase A,3.49073070127471,1.28590142719752e-07
VC_RS00935,VC0190; VC_0190,uvrD,DNA helicase II,0.153858991109912,0.351072097723692
VC_RS00940,VC0191; VC_0191,,LysE family translocator,0.471066981818667,0.0699407021830591
VC_RS00945,VC0192; VC_0192,,AraC family transcriptional regulator,0.414840696920565,0.0845574522099074
VC_RS00950,VC0194; VC_0194,ggt,gamma-glutamyltransferase,-0.38421552769965,0.449594487147729
VC_RS00955,VC0195; VC_0195,rarD,EamA family transporter RarD,-1.35355564297894,0.0004745103374249
VC_RS00960,VC0196; VC_0196,recQ,ATP-dependent DNA helicase RecQ,-0.347064648969631,0.0301738291292256
VC_RS00965,VC0197; VC_0197,,DUF3630 family protein,-0.190628773783684,0.365672410343443
VC_RS00970,VC0198; VC_0198,,hypothetical protein,-0.802052683821678,0.0107675316353078
VC_RS00975,VC0199; VC_0199,,ABC transporter ATP-binding protein,0.169895908981007,0.345809869782422
VC_RS00980,VC0200; VC_0200,fhuA,TonB-dependent siderophore receptor FhuA,0.250904936944047,0.27087741753565
VC_RS00985,VC0201; VC_0201,,ABC transporter ATP-binding protein,-0.10026823266216,0.723468265284746
VC_RS00990,VC0202; VC_0202,,iron-siderophore ABC transporter substrate-binding protein,-0.0894259602088934,0.71332144211945
VC_RS00995,VC0203; VC_0203,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,0.614371729390796,0.0177999642224451
VC_RS01000,VC0204; VC_0204,,MurR/RpiR family transcriptional regulator,-0.145460526054316,0.596037049009096
VC_RS01005,VC0206; VC_0206,murQ,N-acetylmuramic acid 6-phosphate etherase,0.246220002705602,0.464936221663458
VC_RS01010,VC0207; VC_0207,murP,PTS N-acetylmuramic acid transporter subunit IIBC,-0.0809027588935554,0.826980469530118
VC_RS01015,VC0208; VC_0208,,TIGR00645 family protein,-0.206075625206052,0.192931002953884
VC_RS01020,VC0209; VC_0209,,YicC/YloC family endoribonuclease,-0.547668330266141,0.0022753840639522
VC_RS01025,VC0210; VC_0210,rph,ribonuclease PH,0.120622806088074,0.48166384846928
VC_RS01030,VC0211; VC_0211,pyrE,orotate phosphoribosyltransferase,0.976100091285001,0.0009349510949344
VC_RS01035,VC0212; VC_0212,lpxN,lipid A biosynthesis myristoyltransferase LpxN,0.201757629277852,0.246309959093664
VC_RS01040,VC0213; VC_0213,,Kdo(2)-lipid IV(A) acyltransferase,-0.0991827245521059,0.627034814753125
VC_RS01045,VC0214; VC_0214,slmA,nucleoid occlusion factor SlmA,0.124730694961092,0.546313785039616
VC_RS01050,,,hypothetical protein,-0.388686545213604,0.406947355798738
VC_RS01055,VC0215; VC_0215,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,0.153919275446131,0.358575888587001
VC_RS01060,VC0216; VC_0216,,methyl-accepting chemotaxis protein,0.21328863282535,0.480411584594665
VC_RS01065,VC0217; VC_0217,radC,RadC family protein,-0.153552040964608,0.589599368772724
VC_RS01070,VC0218; VC_0218,rpmB,50S ribosomal protein L28,-1.22916309912256,0.0001683835231367
VC_RS01075,VC0219; VC_0219,rpmG,50S ribosomal protein L33,-0.717906101952363,0.0051068969403832
VC_RS01080,VC0220; VC_0220,,hypothetical protein,-0.559075110167252,0.0901697296392839
VC_RS01085,VC0221; VC_0221,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,-0.215270276561159,0.296081584404935
VC_RS01090,VC0222; VC_0222,coaD,pantetheine-phosphate adenylyltransferase,-0.304148765867209,0.0657730067319766
VC_RS01095,VC0223; VC_0223,,glycosyltransferase family 9 protein,-0.470835251182612,0.0976703402064489
VC_RS01100,VC0224; VC_0224,,glycosyltransferase family 2 protein,0.592600645559526,0.0036664726337963
VC_RS01105,VC0225; VC_0225,,glycosyltransferase family 9 protein,0.527803315242417,0.0059030073503753
VC_RS01110,VC0227; VC_0227,,3-deoxy-D-manno-octulosonic acid kinase,0.0159931880835484,0.926751177024392
VC_RS01115,VC0228; VC_0228,,WavE lipopolysaccharide synthesis family protein,0.0252243612229017,0.933182553354684
VC_RS01120,VC0229; VC_0229,,WavE lipopolysaccharide synthesis family protein,-1.13917978885034,2.64753814443964e-05
VC_RS01125,VC0230; VC_0230,,glycosyltransferase family 2 protein,-1.01836225683907,0.0552804010381448
VC_RS01130,VC0231; VC_0231,,hypothetical protein,-0.922974505420468,0.0003294443615641
VC_RS01135,VC0232; VC_0232,,HAD hydrolase family protein,-0.240295264298897,0.336511153886937
VC_RS01140,VC0233; VC_0233,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,-0.453324314031646,0.0307737684395702
VC_RS01145,VC0234; VC_0234,,glycosyltransferase family 32 protein,-1.52103611976745,0.0001444848581422
VC_RS01150,VC0235; VC_0235,,glycosyltransferase family 9 protein,-1.3332421573878,6.57278774925237e-06
VC_RS01155,VC0236; VC_0236,waaF,lipopolysaccharide heptosyltransferase II,-0.877081451832697,0.0009932098923179
VC_RS01160,VC0237; VC_0237,,O-antigen ligase family protein,-0.0934690845655392,0.660011563548546
VC_RS01165,VC0238; VC_0238,,acyltransferase,0.199003562758525,0.363161401832502
VC_RS01170,VC0239; VC_0239,,polysaccharide deacetylase family protein,0.0596688006391026,0.685051994781533
VC_RS01175,VC0240; VC_0240,rfaD,ADP-glyceromanno-heptose 6-epimerase,-0.452303106004383,0.0179869568731126
VC_RS01180,VC0241; VC_0241,,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,-0.35627989806172,0.0472917983589937
VC_RS01185,VC0242; VC_0242,,phosphomannomutase/phosphoglucomutase,0.0299729520026846,0.924452817847746
VC_RS01190,VC0243; VC_0243,gmd,"GDP-mannose 4,6-dehydratase",0.169087862785414,0.585168416498026
VC_RS01195,VC0244; VC_0244,,DegT/DnrJ/EryC1/StrS family aminotransferase,0.250807641572068,0.427855304642029
VC_RS01200,VC0245; VC_0245,,glycosyltransferase,-0.0810723710495889,0.788791525578229
VC_RS01205,VC0246; VC_0246,,ABC transporter permease,-0.521687743577257,0.0872841066855399
VC_RS01210,VC0247; VC_0247,,ABC transporter ATP-binding protein,-0.697291866075535,0.0165663689109759
VC_RS01215,VC0248; VC_0248,,acyl carrier protein,-1.20649572740732,0.0024140465967197
VC_RS01220,VC0249; VC_0249,,AMP-binding protein,-0.708719755726314,0.0034156440976637
VC_RS01225,VC0250; VC_0250,,iron-containing alcohol dehydrogenase,-0.563299475576223,0.0362787318686636
VC_RS01230,VC0251; VC_0251,,acyl-CoA reductase,-0.662527581768867,0.0106639504986107
VC_RS01235,VC0252; VC_0252,,acetyltransferase,-0.584542701906829,0.0379920727405117
VC_RS01240,VC_0253,,IS200/IS605 family transposase,-0.596223242021187,0.0099735741291961
VC_RS01245,VC0254; VC_0254,,ISAs1 family transposase,-0.391406088825355,0.19019559455787
VC_RS01250,VC0255; VC_0255,,hypothetical protein,-1.01316922033341,0.0117526858917046
VC_RS01255,VC0257; VC_0257,,IS3-like element ISVch4 family transposase,-0.74105908028222,0.182001642121556
VC_RS01260,VC0258; VC_0258,,FkbM family methyltransferase,-0.745508539359722,0.0713903807226491
VC_RS01265,VC0259; VC_0259,,glycosyltransferase family 4 protein,0.0481394707114328,0.896557684458452
VC_RS01270,VC0260; VC_0260,,polysaccharide biosynthesis protein,-0.196294647139558,0.284129130874583
VC_RS01275,VC0262; VC_0262,,UDP-glucose 4-epimerase family protein,-0.191666082663522,0.203911235827317
VC_RS01280,VC0263; VC_0263,,sugar transferase,-1.03526740458376,0.0004446312192099
VC_RS01285,VC0264; VC_0264,,MBL fold metallo-hydrolase RNA specificity domain-containing protein,-0.740061673241354,0.0006485106317639
VC_RS01290,VC0265; VC_0265,,mechanosensitive ion channel family protein,-0.256590573077606,0.211533172987019
VC_RS01295,VC0266; VC_0266,,uracil-DNA glycosylase family protein,0.130823856988557,0.631776178814422
VC_RS01300,VC0267; VC_0267,,D-2-hydroxyacid dehydrogenase,-0.101088439881937,0.630638194246155
VC_RS01305,VC0268; VC_0268,,YjaG family protein,0.345838735230072,0.185030554138443
VC_RS01310,VC0269; VC_0269,manA,"mannose-6-phosphate isomerase, class I",-0.871909707944259,0.0040988697901546
VC_RS01315,VC0270; VC_0270,,ROK family protein,-0.846479591264725,7.99885871632706e-05
VC_RS01320,VC0271; VC_0271,,CNNM domain-containing protein,2.64260444352081,2.8861058791249e-07
VC_RS01325,VC0273; VC_0273,hupA,nucleoid-associated protein HU-alpha,1.13955122249734,0.0010513739595867
VC_RS01330,VC0274; VC_0274,,DUF1481 domain-containing protein,1.18486611888047,0.0001918293669355
VC_RS01335,VC0275; VC_0275,purD,phosphoribosylamine--glycine ligase,-1.75013003772392,9.26280179306269e-06
VC_RS01340,VC0276; VC_0276,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,-2.29604652922807,5.48874393259386e-06
VC_RS01345,,,hypothetical protein,-2.43033493375039,0.0074677664368023
VC_RS01350,VC0277; VC_0277,zntR,Zn(2+)-responsive transcriptional regulator,1.11113848470206,0.0008139671245171
VC_RS01355,VC0278; VC_0278,cadC,lysine decarboxylation/transport transcriptional activator CadC,1.07809923087076,0.0006655649262703
VC_RS01360,VC0280; VC_0280,cadB,cadaverine/lysine antiporter,-2.19418798713134,0.0189450740126914
VC_RS01365,VC0281; VC_0281,,lysine decarboxylase CadA,0.28050515752081,0.695348525980882
