locus,oldLocus,gene,description,logFC,qvalue
VC_RS12740,VC2642; VC_2642,,argininosuccinate synthase,0.791797405264359,0.0041880023447476
VC_RS12745,VC2643; VC_2643,argB,acetylglutamate kinase,1.00174710726893,0.0005336454774198
VC_RS12750,VC2644; VC_2644,argC,N-acetyl-gamma-glutamyl-phosphate reductase,1.11716132557336,0.0429292250819372
VC_RS12755,VC2645; VC_2645,argE,acetylornithine deacetylase,-0.101108951037943,0.626078117502575
VC_RS12760,VC2646; VC_2646,ppc,phosphoenolpyruvate carboxylase,0.0730412602485299,0.810228705994586
VC_RS12765,VC2647; VC_2647,,PadR family transcriptional regulator,-0.728809275413526,0.0008986252960439
VC_RS12770,VC2649; VC_2649,cysE,serine O-acetyltransferase,0.809371017915535,5.19985737534581e-05
VC_RS12775,VC2651; VC_2651,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,0.695921415695279,0.0018328221123988
VC_RS12780,VC2653; VC_2653,secB,protein-export chaperone SecB,1.19046011136295,0.0022056109778332
VC_RS12785,VC2654; VC_2654,,rhodanese-like domain-containing protein,0.150130479600075,0.412838088285979
VC_RS12790,VC2655; VC_2655,epmA,elongation factor P--(R)-beta-lysine ligase,0.0602454432781925,0.784697851565139
VC_RS12795,VC2656; VC_2656,frdA,fumarate reductase (quinol) flavoprotein subunit,0.0759221696128632,0.880782830613983
VC_RS12800,VC2657; VC_2657,,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,-0.298529561779204,0.571882415518377
VC_RS12805,VC2658; VC_2658,frdC,fumarate reductase subunit FrdC,-0.484516952143254,0.398271874257012
VC_RS12810,VC2659; VC_2659,frdD,fumarate reductase subunit FrdD,-0.0487207217859664,0.940914590190921
VC_RS12815,VC2660; VC_2660,efp,elongation factor P,0.269198303596725,0.299516854655426
VC_RS12820,VC2661; VC_2661,epmB,EF-P beta-lysylation protein EpmB,-0.410768762670754,0.065469588741807
VC_RS12825,VC2662; VC_2662,,VC2662 family protein,2.31531162787596,2.4707721910683e-06
VC_RS12830,VC2664; VC_2664,groL,chaperonin GroEL,4.51160466951142,1.28590142719752e-07
VC_RS12835,VC2665; VC_2665,,co-chaperone GroES,3.4588341185519,1.21061677161742e-06
VC_RS12840,VC2666; VC_2666,,helix-turn-helix transcriptional regulator,-0.167213344344831,0.609598588707666
VC_RS12845,VC2667; VC_2667,,DUF3135 domain-containing protein,0.924570781033368,0.0010821996578276
VC_RS12850,VC2668; VC_2668,,DUF805 domain-containing protein,0.401054894449978,0.190774193636096
VC_RS12855,VC2669; VC_2669,,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,0.244049697491783,0.471991362403295
VC_RS12860,VC2670; VC_2670,tpiA,triose-phosphate isomerase,1.08083337511825,0.0010426109657401
VC_RS12865,VC2671; VC_2671,,MATE family efflux transporter,-0.426925501470609,0.0623703890992839
VC_RS12870,VC2672; VC_2672,rraA,ribonuclease E activity regulator RraA,0.216518370946065,0.426793180170066
