group,frame,mean,sd,n
WT,0,0.0,0.0,24
WT,1,0.0003031503275017109,0.0005633594348066854,24
WT,2,0.0003626587090318468,0.0008999926570353149,24
WT,3,0.00038412442819005856,0.0008007570534903955,24
WT,4,0.0005113301429677439,0.0012082150519734352,24
WT,5,0.001288334251895025,0.0021884519144035027,24
WT,6,0.0077514224687456655,0.013721875428340262,24
WT,7,0.03517760398707538,0.057603734219311385,24
WT,8,0.12336809022948625,0.16155339743963026,24
WT,9,0.3167115148315423,0.2842118778492523,24
WT,10,0.6010667444694143,0.30431322153359663,24
WT,11,0.851151066864858,0.2146691916372122,24
WT,12,0.8443807623118841,0.27093458629813105,24
WT,13,0.5943532595750195,0.3496153444109383,24
WT,14,0.2642741758095721,0.2727143259246313,24
WT,15,0.07382969435077467,0.099110527370188,24
WT,16,0.0270686518147983,0.03592116957660867,24
WT,17,0.016867040923005932,0.023461237266859745,24
WT,18,0.008933526173116327,0.01488288078353801,24
WT,19,0.003464728885060844,0.00617143871146142,24
WT,20,0.002130608709132015,0.0035719164133359966,24
WT,21,0.0014670160899854987,0.002360955047855097,24
WT,22,0.0013590927223571631,0.002419057636685498,24
WT,23,0.001762226571267154,0.0032192748129778455,24
WT,24,0.002098063870548452,0.004006046920902774,24
WT,25,0.002115999908280707,0.0039261315102925454,24
WT,26,0.0023406669121535857,0.0038391888495707452,24
WT,27,0.002785176295033554,0.004709991906944874,24
WT,28,0.0031923853451906186,0.005300550677561439,24
WT,29,0.0034202730035776496,0.0055111246299606445,24
WT,30,0.003061111568401035,0.004531888918580444,24
BioD,0,0.0,0.0,32
BioD,1,0.0007228739162928741,0.0016335891824058183,32
BioD,2,0.0006046360269912298,0.001205617310185038,32
BioD,3,0.0006267026226501038,0.0012620332474121707,32
BioD,4,0.0006082327861280784,0.0011736302603891613,32
BioD,5,0.0007934712386289261,0.0014426434408774808,32
BioD,6,0.0019179580891078504,0.0019027298582413221,32
BioD,7,0.008167649646354372,0.005282251844393302,32
BioD,8,0.03203711750450953,0.018112798597666614,32
BioD,9,0.10098086840812376,0.0527574640822206,32
BioD,10,0.2905371633548237,0.14329719739269386,32
BioD,11,0.6675895570585276,0.2592246512642072,32
BioD,12,1.1757867507486583,0.29674726700556353,32
BioD,13,1.64014382542694,0.23357146339256743,32
BioD,14,1.9696157909788607,0.17336811922411452,32
BioD,15,2.133172909495381,0.13845793103523063,32
BioD,16,2.1587252648613906,0.1255374643501241,32
BioD,17,2.099142958890532,0.14567448359930738,32
BioD,18,2.011463829094965,0.16275213177580625,32
BioD,19,1.9301951551009833,0.17073575073152925,32
BioD,20,1.8474075949584925,0.16051689937124947,32
BioD,21,1.792048713733036,0.16198299898524837,32
BioD,22,1.7438846338528111,0.16445958025214494,32
BioD,23,1.7056439482979426,0.15271462343023381,32
BioD,24,1.6725258221354231,0.14994157620290186,32
BioD,25,1.6366672904474524,0.14748288526541456,32
BioD,26,1.619524881742026,0.14353744495880333,32
BioD,27,1.6038733455110574,0.15694772542100577,32
BioD,28,1.5874250142515804,0.1635222230429725,32
BioD,29,1.570579363375527,0.16041167265735684,32
BioD,30,1.5512330878787672,0.1608917302988273,32
ManA,0,0.0,0.0,32
ManA,1,0.00047026443023150035,0.0009992784195988202,32
ManA,2,0.00038688785238994827,0.0007191546681124064,32
ManA,3,0.00041267921830683127,0.0007746696764764647,32
ManA,4,0.00044830005424345077,0.0007524293333505491,32
ManA,5,0.0006309047579364719,0.0009101233855271799,32
ManA,6,0.0018035739734998438,0.0020979409795539817,32
ManA,7,0.006020429800639885,0.009322922513624383,32
ManA,8,0.02459738895572788,0.047395083817904166,32
ManA,9,0.08729865396337656,0.15179488900998814,32
ManA,10,0.27372399984814244,0.3217631993179379,32
ManA,11,0.6612699807932633,0.5012865213064196,32
ManA,12,1.2330118078884342,0.5226973936821726,32
ManA,13,1.805480371026006,0.5325970028954355,32
ManA,14,2.3916612417149796,0.5840574025289794,32
ManA,15,3.0180596926294982,0.6456723091714356,32
ManA,16,3.6791306354870343,0.6535370576053204,32
ManA,17,4.2668556552596915,0.5367000943404632,32
ManA,18,4.758204635150395,0.4437702383381411,32
ManA,19,5.097333621313997,0.3875942369147196,32
ManA,20,5.351755243911539,0.3291349715100781,32
ManA,21,5.556240538531492,0.28303973838166735,32
ManA,22,5.673411198421756,0.2515159616973954,32
ManA,23,5.735596412637074,0.2738089100418661,32
ManA,24,5.789260782719085,0.24936553403720135,32
ManA,25,5.812195281592976,0.2864656393601251,32
ManA,26,5.983792735189901,0.3829750066897211,32
ManA,27,6.284473988453224,0.4652640117375814,32
ManA,28,6.638659494998127,0.4286791815385013,32
ManA,29,6.876771142202347,0.33650754945462585,32
ManA,30,6.957075541066371,0.3169830746343522,32
PdhE2,0,0.0,0.0,32
PdhE2,1,0.0006435573848832344,0.0021411774805715016,32
PdhE2,2,0.00054854048672101,0.00210435036105143,32
PdhE2,3,0.0006284669187393379,0.0026147750612018285,32
PdhE2,4,0.0006436226434590349,0.0026860802993497594,32
PdhE2,5,0.000700859351216841,0.0026598985698312004,32
PdhE2,6,0.001007759535318498,0.003291928901690092,32
PdhE2,7,0.0010411491445720042,0.0033570121388056175,32
PdhE2,8,0.0009189099391689613,0.003258848652284446,32
PdhE2,9,0.001115039655855549,0.0033449324780444574,32
PdhE2,10,0.0011555618029291715,0.0032391657633739856,32
PdhE2,11,0.0015050534094566137,0.002696564481122779,32
PdhE2,12,0.0022525525529245895,0.0033097980743044494,32
PdhE2,13,0.0036265076580477037,0.0034562808666684904,32
PdhE2,14,0.006375063194667723,0.004266902522309497,32
PdhE2,15,0.010535957443965092,0.00598185297899048,32
PdhE2,16,0.018102317183234427,0.011940320278591933,32
PdhE2,17,0.028470988752646354,0.017525723809058584,32
PdhE2,18,0.04502000064804515,0.029352490821569006,32
PdhE2,19,0.07096978297710822,0.04465492327380318,32
PdhE2,20,0.1097737968263482,0.06864380272889115,32
PdhE2,21,0.16462088033573818,0.0970814188190286,32
PdhE2,22,0.24762890834965484,0.13686468695201856,32
PdhE2,23,0.3781485717790448,0.20580859389795594,32
PdhE2,24,0.6163652988415782,0.39290490140533824,32
PdhE2,25,0.9694597655233783,0.5766481645078706,32
PdhE2,26,1.431652510090522,0.6821063278469235,32
PdhE2,27,1.9685859367408638,0.6048375678508672,32
PdhE2,28,2.3891473906831635,0.4749641247970063,32
PdhE2,29,2.4550767524740413,0.4834391712240335,32
PdhE2,30,2.2691907455942353,0.5143639932557657,32
