,vpsU,vpsA,vpsB,vpsC,vpsD,vpsE,vpsF,vpsG,vpsH,vpsI,vpsJ,vpsK,vpsL,vpsM,vpsN,vpsO,vpsP,vpsQ,rbmA,rbmB,rbmC,rbmD,rbmEF,mshI,mshJ,mshK,mshL,mshM,mshN,mshE,mshG,mshF,mshB,mshA,mshC,mshD,mshO,mshP,mshQ,lapD,lapG,lapB,lapC,craA,frhA,bap1
bioD,0.657021421883584,0.0188993664990012,-0.272937170279607,-0.435472601369156,-0.233423223499407,0.223260721382584,0.0080908580500809,0.13150439648601,-0.0296220174337053,-0.204668892266639,-0.352782285181298,-0.682005600535646,1.98877303909506,2.30052307386357,2.22712422026656,1.45248204198801,1.97871412148447,1.05979289863202,0.89158098117177,-0.320358004046084,0.694060906207584,1.15291644406597,2.58163448886144,-0.625506480021508,-0.641171749916854,-0.132051605980578,-0.241152897731267,-0.181921481624301,-0.176429233537797,-0.413683731221273,-0.645856504674098,-0.100644197107514,-1.21667492832647,-1.17944178788709,-0.667991565636794,-1.28509054685685,-2.01126477509093,-0.567563101168133,-1.15125333190914,0.0862029202786569,0.186982883668252,-0.1580196237249705,-0.700080771227805,0.178607409923107,-1.01626808394315,1.01428286339569
pdhE2,-1.55912282081408,-1.53194459896394,-0.837752678173104,-1.18486956589814,-1.16331764471129,-2.35990850309286,-2.53441421395516,-0.931931526649057,-0.94521342865454,-1.01114548323135,-0.725944850132689,-1.10164025612204,0.57512015967747,0.631559760153763,0.553410458149601,0.759241912028924,1.07739390751273,-0.300852798432687,-3.12341760435792,-2.46054633796261,-0.930454631990227,0.72196897340242,0.337012920300007,-1.99895315951377,-1.67440276757986,-0.643845047547488,-1.0943226203903,-1.36256727113993,-1.12458302379728,-0.914334601152536,-1.15700609064106,-1.06613507762662,-0.903845334366103,-2.85242931973797,-1.51407727889517,-1.21040913062066,-1.64455121242434,-1.36545940560669,-2.18366402041057,-0.165757014200426,0.689563762139863,-0.19245115371700097,0.172910359715576,1.58607348324639,-0.698992992664762,-1.64532872048319
manA,0.510855202455902,-0.116634626297923,-0.0374888458686254,-0.1051695114279,-0.255446844798981,0.0022946946767564,0.11718450059765,-0.101351663623169,-0.174432370870366,-0.0733305670964514,-0.200926870669739,-0.174538011456476,-0.0236857477804853,-0.0117621256156443,-0.153139980064291,-0.298502647630491,-0.044104994497913,0.0203685512174567,0.14491132955266,-0.292470509559401,0.178096426062947,-0.0671538185672024,0.176283234122206,0.0215302747899959,-0.213684069841232,-0.170475998080666,-0.156072750851602,-0.196666242631748,-0.150082131215753,-0.381968456183524,-0.438108334138563,-0.0633420978167343,0.0260990056716596,0.380846360930345,0.100049887945863,-0.218664635508992,-0.606387774658256,-0.246440034839842,-0.579884791486707,0.114425278312789,0.0096787169811201,0.0981435287626379,-0.204322835737977,-0.094647448617838,-0.0013834142009319,0.0351305721573433
