,biomass,colony_area_um2_mean,colony_area_um2_std,colony_bgCV,colony_centroidOffset_um_mean,colony_eccentricity_mean,colony_majorAxisLength_um_mean,colony_meanIntensity_kurtosis,colony_meanIntensity_mean,colony_mstEdgeMax_um_mean,colony_nnDistance1_um_mean,colony_nnDistance1_um_std,nColonies,whole_entropy,whole_haralick_0,whole_haralick_1,whole_haralick_2,whole_haralick_3,whole_haralick_4,whole_haralick_5,whole_haralick_6,whole_haralick_7,whole_haralick_8,whole_haralick_9,whole_haralick_10,whole_haralick_11,whole_haralick_12
BioD,0.648860825886767,0.3606004892507515,0.45037920357039374,0.8135239635878754,1.5231098595456964,-0.34653815666529697,0.4279587237348893,-0.0243090760388746,-2.757906116362738,-0.6615590504988775,-0.3627371177065068,-0.7171970495550196,1.3190622958132632,1.1488495117829647,-0.301717623399495,0.08547599502097317,1.5916661093792392,1.593917984285082,0.021950586983493243,0.3148546892204232,1.6716688614302435,1.1800848997461038,0.7132355664151996,-0.1775831165482645,0.06830905291089301,-1.4759190523223302,1.5448932158424726
ManA,3.1439628115188385,1.9011172119796496,1.6704978142438127,4.514824171179529,3.300495915403133,0.29991688737000055,3.1191885620812707,-0.0448920655641127,-1.2601509089772045,-0.4141225742706864,-0.12497730508482073,-0.7269239266567646,0.5729863366428655,3.04680302031543,-0.963905960304987,5.096482809156979,0.8122481275381452,4.771963175448403,-1.639125845737579,0.5790539653139171,4.715286826130367,3.0767094110031916,2.9322953733822263,-1.4511553532054582,2.4005813873426285,-0.6023324951647688,1.2682878730287934
PdhE2,0.8629154383194353,0.7939907043133916,0.6525311049855395,-0.15950725385329073,-0.8573715692358581,0.1337624369121752,0.3341728652675464,0.0063362038017854136,0.9035993966907078,-0.20850132510116476,-0.3444968321932719,-0.21647377312354812,0.28649316832143273,-0.08608817777389444,0.4053006218031252,-0.5179415745903333,0.952801707423806,0.04987604019397272,0.8276261823408041,0.46910427023329604,0.09741674133041409,0.0006997164367577955,-0.33692386874417923,0.41031827826686834,-0.7100425460308951,-0.9291291723846746,1.0067624054755588
